id	helyrajziszam	teruletha	gazdaid
356	467432	238	224
357	263981	247	97
358	905443	487	141
359	235720	116	31
360	514510	153	129
361	180831	164	190
362	515073	210	103
363	330608	170	237
364	848319	6	91
365	141092	136	171
366	537741	148	88
367	829820	500	5
368	825776	480	90
369	152477	39	130
370	769743	311	92
371	765738	145	50
372	633024	91	185
373	379135	403	140
374	448653	429	176
375	481391	30	70
376	444455	388	146
377	659051	156	113
378	886203	12	248
379	344001	491	64
380	470391	360	6
381	340110	468	60
382	311793	295	243
383	564918	468	170
384	657000	346	217
385	334283	173	106
386	756866	79	62
387	762058	411	196
388	408016	446	26
389	643473	78	69
390	128081	100	50
391	613632	441	225
392	983535	157	194
393	303308	490	73
394	103310	115	77
395	377691	140	199
396	513861	340	66
397	882535	455	63
398	377416	439	148
399	671206	341	209
400	689297	352	130
401	665042	345	168
402	457945	327	4
403	453464	440	247
404	244137	84	2
405	653835	165	137
406	658799	64	117
407	826424	240	244
408	477783	311	132
409	157710	436	127
410	571125	289	66
411	318915	62	109
412	502413	206	114
413	289554	402	141
414	624328	121	171
415	607494	245	107
416	524788	98	215
417	297995	67	46
418	341003	86	178
419	377995	314	238
420	115876	266	162
421	461799	162	138
422	594178	287	138
423	356966	89	38
424	543418	409	39
425	798598	284	120
426	338682	365	94
427	759153	16	31
428	901856	349	52
429	806988	260	157
430	557224	446	152
431	886917	126	75
432	752970	139	132
433	629120	7	145
434	771855	452	226
435	428578	441	225
436	284941	412	9
437	121661	290	137
438	485298	109	210
439	968923	339	128
440	777053	41	189
441	228037	441	240
442	784287	49	98
443	921237	449	148
444	430788	94	21
445	370307	170	74
446	290411	11	231
447	151710	209	23
448	604310	73	217
449	590160	78	106
450	140120	345	66
451	748081	238	113
452	497573	300	102
453	585717	231	174
454	150396	299	245
455	869721	415	137
456	165742	433	161
457	626424	191	202
458	686564	198	39
459	350186	173	19
460	351119	71	202
461	751700	485	77
462	577965	93	240
463	592455	312	217
464	699918	307	154
465	925649	229	142
466	141522	465	217
467	709754	493	145
468	185647	86	80
469	473944	202	20
470	604803	157	59
471	358600	280	85
472	239025	149	111
473	941135	414	3
474	717891	148	34
475	302047	441	134
476	336127	283	244
477	582055	99	169
478	882063	389	185
479	864657	76	34
480	750846	251	18
481	670023	109	220
482	714310	413	240
483	230063	344	235
484	581334	199	185
485	728318	52	87
486	541469	348	202
487	449353	223	246
488	958878	142	247
489	230144	470	123
490	952422	24	80
491	485178	26	16
492	787809	44	90
493	944079	182	181
494	860326	371	114
495	494959	457	228
496	377304	367	20
497	572847	315	136
498	704169	177	129
499	489087	46	1
500	651070	433	128
501	899641	152	27
502	113105	189	15
503	562674	93	61
504	947418	91	177
505	617352	365	96
506	353557	494	8
507	811011	343	18
508	423519	318	156
509	311589	403	28
510	676561	300	45
511	189496	361	17
512	294618	468	59
513	240963	30	81
514	659246	290	94
515	814606	42	96
516	514752	277	86
517	768355	492	228
518	701833	363	186
519	569799	339	172
520	166183	482	108
521	531883	63	246
522	780929	406	144
523	334592	347	234
524	480397	229	53
525	657669	128	153
526	246505	311	183
527	311818	174	25
528	216728	185	234
529	319219	373	227
530	938806	241	156
531	128068	63	13
532	767227	402	62
533	296339	226	142
534	615943	74	121
535	922431	496	249
536	934976	370	64
537	115114	141	149
538	544176	447	1
539	704643	499	121
540	590598	145	162
541	191085	94	53
542	628266	393	18
543	500958	386	142
544	756101	363	8
545	975716	256	61
546	976905	77	137
547	380343	38	111
548	174840	189	190
549	677968	250	2
550	180364	278	57
551	110827	38	240
552	572129	205	134
553	472710	377	240
554	667044	211	79
555	253949	98	242
556	199164	448	38
557	924537	198	215
558	337217	471	139
559	522537	466	34
560	687751	438	223
561	257496	226	163
562	456650	17	169
563	938734	199	242
564	590735	444	107
565	397543	226	242
566	154998	476	35
567	455113	451	98
568	304623	259	121
569	978979	462	106
570	442048	149	242
571	860051	110	155
572	434874	212	217
573	776433	165	69
574	875695	307	173
575	240941	11	139
576	894515	477	126
577	667608	498	122
578	840725	489	236
579	858586	92	220
580	267299	360	121
581	840372	95	199
582	833544	477	141
583	379597	275	41
584	734797	264	224
585	835924	357	201
586	250846	256	15
587	432568	88	170
588	391765	232	222
589	791457	198	150
590	316313	349	145
591	971884	417	29
592	537295	303	87
593	645088	137	147
594	346092	413	170
595	922427	295	154
596	323022	155	41
597	894408	116	108
598	356228	431	126
599	643106	242	92
600	550574	69	41
601	757349	276	74
602	181798	120	87
603	357366	40	246
604	376083	122	166
605	946491	31	52
606	145676	347	203
607	107091	283	210
608	603762	484	191
609	116708	53	4
610	595408	195	185
611	720209	151	36
612	176927	369	39
613	982082	249	92
614	981797	224	183
615	926809	105	40
616	203050	141	96
617	366423	304	15
618	245460	39	113
619	954537	203	54
620	538006	285	20
621	843905	319	107
622	665597	296	137
623	227685	354	57
624	434963	8	208
625	803541	363	31
626	390432	97	229
627	255651	194	151
628	678209	88	18
629	397313	458	49
630	848055	432	100
631	434982	408	51
632	285428	293	32
633	619288	497	6
634	130069	489	93
635	698904	153	205
636	331765	103	29
637	684005	240	222
638	533994	397	117
639	525070	84	67
640	234057	452	145
641	249907	145	238
642	144524	378	91
643	710281	42	18
644	428829	245	109
645	102688	425	49
646	963893	490	140
647	655621	138	98
648	644305	429	126
649	660698	59	52
650	809343	5	127
651	792882	482	66
652	804219	113	192
653	493757	246	99
654	822695	402	56
655	344994	80	155
656	151945	406	100
657	396465	197	193
658	157211	187	230
659	451078	127	106
660	405034	362	182
661	293852	411	75
662	437217	348	99
663	323128	181	51
664	313590	435	113
665	330889	133	244
666	327956	410	94
667	129284	297	106
668	394473	107	187
669	145974	477	187
670	326792	353	134
671	112680	170	66
672	736851	456	31
673	132222	118	206
674	170344	407	41
675	956145	365	39
676	119636	160	131
677	572679	145	203
678	177863	404	168
679	818207	46	223
680	309335	295	20
681	245834	236	210
682	173951	17	226
683	797736	131	181
684	932198	12	220
685	840642	324	4
686	468643	22	5
687	463611	318	135
688	473858	109	225
689	882828	100	48
690	468899	423	88
691	580958	273	210
692	303471	413	30
693	744013	23	247
694	218885	101	5
695	617830	125	30
696	798922	85	60
697	374089	105	168
698	717634	321	38
699	612165	414	138
700	371209	154	24
701	539697	273	87
702	615893	146	208
703	841472	158	2
704	224244	234	219
705	183894	154	22
706	389838	14	239
707	182941	243	38
708	146789	277	153
709	581783	409	223
710	575950	455	19
711	313839	381	65
712	576241	492	47
713	890519	239	215
714	286833	451	197
715	220833	25	175
716	724928	320	232
717	369532	92	50
718	400154	31	130
719	884039	422	12
720	136588	405	204
721	281215	171	236
722	382605	240	187
723	430120	89	193
724	974282	224	47
725	424451	230	241
726	626376	141	250
727	474230	106	186
728	659634	18	180
729	691878	46	38
730	854881	257	161
731	129190	328	12
732	742433	184	14
733	445476	149	157
734	983254	441	79
735	944789	466	160
736	563107	150	222
737	121706	107	213
738	238645	499	16
739	195665	287	247
740	277834	307	27
741	954171	333	153
742	780665	33	177
743	591000	73	140
744	383188	47	184
745	483518	52	112
746	248606	424	112
747	716273	410	221
748	790669	459	98
749	689694	481	63
750	872866	17	215
751	610599	460	108
752	715332	293	225
753	581964	76	31
754	890001	162	96
755	117566	334	214
756	590390	88	186
757	650582	469	203
758	977911	243	192
759	351561	62	212
760	497351	465	180
761	585590	154	128
762	304697	144	127
763	815558	265	108
764	907428	173	42
765	244609	290	169
766	160276	359	138
767	767684	37	243
768	530345	384	131
769	947112	138	215
770	141419	135	92
771	390962	497	105
772	856714	351	183
773	709969	464	132
774	583806	277	117
775	180766	414	170
776	105614	146	169
777	987931	115	92
778	568643	492	7
779	179983	106	56
780	126684	325	244
781	173332	174	238
782	224861	479	104
783	395950	303	67
784	286733	399	115
785	420711	70	8
786	436142	459	115
787	813002	278	123
788	332342	270	117
789	278837	492	13
790	708860	150	3
791	899327	341	24
792	354222	390	169
793	632802	254	10
794	650833	450	100
795	241053	266	173
796	602256	474	63
797	250351	377	21
798	865045	464	27
799	314054	24	207
800	778242	169	166
801	325478	462	88
802	172609	166	90
803	839049	96	249
804	624860	296	57
805	253884	148	10
806	222470	429	134
807	239574	460	91
808	664025	115	130
809	440050	264	11
810	972242	258	58
811	967644	143	54
812	910005	231	160
813	885931	353	86
814	326173	498	191
815	866962	36	199
816	797785	204	98
817	626880	208	250
818	103166	174	221
819	281521	433	109
820	286337	428	242
821	538252	153	67
822	522089	27	70
823	359219	209	173
824	472931	425	117
825	937553	186	150
826	542465	173	51
827	143366	435	173
828	757498	297	210
829	947531	473	34
830	879653	105	136
831	284397	416	242
832	171250	344	56
833	187590	284	81
834	529630	158	212
835	747872	89	130
836	980292	275	240
837	829499	215	221
838	464592	75	79
839	757099	132	26
840	777836	466	63
841	292450	345	136
842	510134	489	68
843	818350	174	132
844	238625	121	161
845	886605	126	44
846	178318	349	218
847	738195	441	143
848	137259	435	18
849	907818	217	62
850	190592	315	62
851	266730	383	87
852	167830	275	87
853	742975	318	119
854	621619	303	71
855	586420	95	189
856	174670	253	109
857	280192	399	200
858	345388	170	33
859	439795	197	183
860	979293	275	75
861	816086	230	200
862	750554	437	13
863	751254	146	41
864	282613	382	36
865	485077	340	218
866	607642	423	84
867	238090	144	42
868	911547	374	103
869	642251	138	17
870	639839	235	117
871	585267	47	210
872	128201	392	27
873	422793	74	37
874	379605	483	57
875	988728	53	161
876	523338	61	20
877	213691	103	135
878	828987	154	53
879	194089	89	124
880	232354	200	53
881	985770	71	130
882	127438	283	245
883	112266	5	158
884	702659	156	225
885	597776	191	25
886	279891	472	242
887	548029	164	92
888	567299	150	77
889	936027	283	75
890	552180	336	168
891	869661	454	130
892	345213	194	120
893	849365	389	140
894	108751	408	23
895	969917	36	76
896	199628	371	29
897	128169	355	163
898	212362	167	146
899	287950	462	8
900	348305	296	229
901	704210	171	113
902	457409	35	31
903	511043	80	205
904	752420	405	84
905	740547	264	85
906	599058	319	17
907	360640	458	134
908	407843	421	102
909	364107	119	29
910	830951	288	201
911	285593	422	171
912	369893	37	235
913	123233	172	152
914	939992	194	31
915	984603	325	99
916	748473	159	27
917	279956	365	102
918	488035	368	130
919	473241	111	50
920	821130	262	102
921	622533	438	232
922	166965	381	13
923	738121	425	110
924	769283	36	126
925	351356	258	104
926	387170	141	33
927	242332	336	191
928	510296	35	87
929	988076	202	31
930	879455	491	67
931	479533	82	225
932	304576	199	94
933	988489	360	155
934	329901	329	193
935	618795	170	172
936	548768	206	238
937	363752	406	151
938	601738	249	220
939	884853	141	19
940	262869	385	129
941	914878	22	220
942	878874	376	45
943	477308	170	96
944	356421	253	155
945	871819	454	60
946	281674	99	193
947	370920	200	163
948	368467	42	26
949	683611	362	193
950	312430	229	166
951	105382	336	141
952	117430	307	10
953	439340	105	170
954	163312	267	166
955	479800	52	175
956	165375	459	36
957	895590	416	196
958	519671	370	52
959	925245	330	123
960	988127	496	46
961	333843	471	73
962	978685	169	80
963	258934	332	145
964	212193	176	88
965	339610	319	27
966	700361	146	8
967	581730	456	108
968	708019	59	112
969	864220	451	194
970	548042	412	166
971	451522	167	69
972	643428	159	199
973	704603	286	103
974	146162	99	12
975	665813	500	91
976	382179	17	225
977	136809	457	179
978	467521	117	188
979	760681	478	2
980	672227	394	102
981	819655	228	15
982	407160	286	238
983	801284	183	15
984	976465	273	144
985	351989	272	250
986	908808	108	161
987	199431	385	172
988	123423	337	54
989	934162	54	118
990	792384	298	182
991	888749	227	144
992	209092	180	63
993	582319	26	238
994	844072	389	232
995	434814	449	130
996	560487	448	105
997	805469	432	8
998	324494	85	69
999	911941	97	23
1000	340379	218	137
