id	teruletid	novenyid	ev	termes
182	8	13	2020	11
183	8	1	2021	3
184	8	5	2022	14
185	9	2	2000	10
186	9	2	2001	15
187	9	4	2002	9
188	9	9	2003	2
189	9	8	2004	10
190	9	12	2005	1
191	9	11	2006	8
192	9	10	2007	7
193	9	1	2008	12
194	9	4	2009	7
195	9	10	2010	5
196	9	2	2011	1
197	9	9	2012	3
198	9	2	2013	6
199	9	5	2014	13
200	9	7	2015	14
201	9	5	2016	15
202	9	3	2017	2
203	9	10	2018	11
204	9	2	2019	4
205	9	11	2020	13
206	9	2	2021	1
207	9	3	2022	11
208	10	8	2000	11
209	10	8	2001	4
210	10	12	2002	3
211	10	5	2003	14
212	10	5	2004	3
213	10	3	2005	1
214	10	6	2006	11
215	10	3	2007	2
216	10	2	2008	9
217	10	7	2009	4
218	10	11	2010	3
219	10	1	2011	7
220	10	1	2012	9
221	10	10	2013	11
222	10	12	2014	11
223	10	5	2015	7
224	10	1	2016	9
225	10	3	2017	1
226	10	3	2018	7
227	10	12	2019	2
228	10	5	2020	2
229	10	11	2021	8
230	10	10	2022	2
231	11	4	2000	15
232	11	11	2001	11
233	11	8	2002	5
234	11	4	2003	12
235	11	12	2004	0
236	11	7	2005	15
237	11	13	2006	11
238	11	13	2007	13
239	11	4	2008	8
240	11	10	2009	6
241	11	7	2010	13
242	11	8	2011	0
243	11	3	2012	6
244	11	11	2013	13
245	11	8	2014	4
246	11	8	2015	15
247	11	6	2016	11
248	11	6	2017	10
249	11	8	2018	10
250	11	13	2019	14
251	11	9	2020	12
252	11	2	2021	5
253	11	5	2022	9
254	12	8	2000	1
255	12	7	2001	0
256	12	6	2002	2
257	12	13	2003	5
258	12	5	2004	15
259	12	12	2005	14
260	12	12	2006	1
261	12	12	2007	2
262	12	2	2008	10
263	12	7	2009	12
264	12	6	2010	13
265	12	10	2011	1
266	12	10	2012	5
267	12	12	2013	11
268	12	7	2014	4
269	12	12	2015	7
270	12	7	2016	1
271	12	12	2017	13
272	12	7	2018	15
273	12	2	2019	13
274	12	4	2020	12
275	12	3	2021	6
276	12	8	2022	1
277	13	2	2000	3
278	13	1	2001	1
279	13	7	2002	3
280	13	8	2003	7
281	13	8	2004	6
282	13	13	2005	9
283	13	3	2006	2
284	13	7	2007	15
285	13	2	2008	9
286	13	2	2009	6
287	13	8	2010	8
288	13	6	2011	3
289	13	12	2012	1
290	13	7	2013	6
291	13	9	2014	1
292	13	10	2015	0
293	13	4	2016	4
294	13	9	2017	4
295	13	9	2018	5
296	13	2	2019	2
297	13	1	2020	7
298	13	2	2021	9
299	13	8	2022	9
300	14	1	2000	9
301	14	9	2001	3
302	14	11	2002	10
303	14	10	2003	7
304	14	1	2004	4
305	14	9	2005	12
306	14	4	2006	12
307	14	10	2007	9
308	14	13	2008	1
309	14	2	2009	12
310	14	10	2010	15
311	14	2	2011	10
312	14	7	2012	7
313	14	12	2013	0
314	14	7	2014	15
315	14	13	2015	5
316	14	5	2016	14
317	14	12	2017	13
318	14	9	2018	8
319	14	5	2019	9
320	14	6	2020	1
321	14	8	2021	2
322	14	9	2022	14
323	15	7	2000	12
324	15	13	2001	11
325	15	3	2002	15
326	15	2	2003	5
327	15	8	2004	9
328	15	5	2005	3
329	15	2	2006	7
330	15	12	2007	3
331	15	8	2008	9
332	15	4	2009	1
333	15	11	2010	15
334	15	9	2011	8
335	15	12	2012	4
336	15	2	2013	1
337	15	8	2014	6
338	15	3	2015	3
339	15	4	2016	0
340	15	7	2017	2
341	15	4	2018	13
342	15	5	2019	4
343	15	2	2020	3
344	15	2	2021	8
345	15	7	2022	15
346	16	7	2000	1
347	16	10	2001	2
348	16	8	2002	10
349	16	8	2003	12
350	16	12	2004	0
351	16	11	2005	3
352	16	3	2006	3
353	16	2	2007	8
354	16	9	2008	5
355	16	12	2009	7
356	16	12	2010	4
357	16	4	2011	10
358	16	8	2012	14
359	16	6	2013	3
360	16	6	2014	8
361	16	8	2015	0
362	16	12	2016	3
363	16	4	2017	1
364	16	7	2018	0
365	16	2	2019	15
366	16	3	2020	8
367	16	9	2021	3
368	16	1	2022	7
369	17	12	2000	12
370	17	9	2001	8
371	17	2	2002	14
372	17	1	2003	5
373	17	7	2004	14
374	17	6	2005	9
375	17	4	2006	9
376	17	6	2007	5
377	17	5	2008	5
378	17	3	2009	12
379	17	4	2010	1
380	17	7	2011	3
381	17	12	2012	9
382	17	10	2013	2
383	17	13	2014	9
384	17	6	2015	15
385	17	3	2016	12
386	17	13	2017	9
387	17	7	2018	12
388	17	2	2019	13
389	17	6	2020	12
390	17	9	2021	7
391	17	13	2022	5
392	18	7	2000	1
393	18	5	2001	12
394	18	3	2002	2
395	18	13	2003	2
396	18	8	2004	0
397	18	2	2005	9
398	18	12	2006	2
399	18	13	2007	11
400	18	1	2008	5
401	18	8	2009	2
402	18	6	2010	8
403	18	1	2011	13
404	18	11	2012	12
405	18	4	2013	3
406	18	7	2014	0
407	18	3	2015	2
408	18	13	2016	10
409	18	13	2017	9
410	18	6	2018	2
411	18	7	2019	2
412	18	12	2020	4
413	18	10	2021	7
414	18	3	2022	2
415	19	2	2000	4
416	19	8	2001	9
417	19	6	2002	1
418	19	12	2003	0
419	19	13	2004	14
420	19	3	2005	12
421	19	2	2006	2
422	19	12	2007	3
423	19	3	2008	2
424	19	8	2009	4
425	19	6	2010	15
426	19	5	2011	15
427	19	3	2012	7
428	19	12	2013	10
429	19	12	2014	6
430	19	4	2015	15
431	19	7	2016	0
432	19	7	2017	3
433	19	10	2018	10
434	19	10	2019	3
435	19	5	2020	6
436	19	9	2021	1
437	19	9	2022	9
438	20	11	2000	3
439	20	8	2001	13
440	20	7	2002	15
441	20	3	2003	4
442	20	4	2004	14
443	20	9	2005	2
444	20	4	2006	12
445	20	10	2007	3
446	20	9	2008	11
447	20	1	2009	12
448	20	13	2010	15
449	20	11	2011	14
450	20	3	2012	13
451	20	7	2013	15
452	20	13	2014	4
453	20	12	2015	5
454	20	10	2016	0
455	20	9	2017	13
456	20	13	2018	14
457	20	13	2019	11
458	20	7	2020	8
459	20	7	2021	13
460	20	2	2022	14
461	21	12	2000	11
462	21	3	2001	3
463	21	3	2002	1
464	21	7	2003	11
465	21	9	2004	4
466	21	11	2005	1
467	21	5	2006	15
468	21	10	2007	12
469	21	4	2008	8
470	21	8	2009	2
471	21	9	2010	2
472	21	13	2011	3
473	21	13	2012	1
474	21	12	2013	8
475	21	8	2014	13
476	21	3	2015	10
477	21	5	2016	11
478	21	11	2017	11
479	21	5	2018	11
480	21	12	2019	2
481	21	1	2020	12
482	21	2	2021	6
483	21	6	2022	9
484	22	7	2000	3
485	22	5	2001	0
486	22	13	2002	14
487	22	13	2003	14
488	22	11	2004	12
489	22	9	2005	8
490	22	12	2006	1
491	22	13	2007	15
492	22	4	2008	1
493	22	8	2009	15
494	22	13	2010	11
495	22	1	2011	12
496	22	7	2012	3
497	22	1	2013	10
498	22	1	2014	5
499	22	8	2015	13
500	22	3	2016	9
501	22	7	2017	5
502	22	6	2018	12
503	22	7	2019	2
504	22	2	2020	13
505	22	2	2021	4
506	22	7	2022	6
507	23	3	2000	10
508	23	13	2001	11
509	23	11	2002	10
510	23	7	2003	14
511	23	2	2004	5
512	23	11	2005	11
513	23	11	2006	11
514	23	1	2007	9
515	23	10	2008	9
516	23	13	2009	2
517	23	12	2010	8
518	23	11	2011	11
519	23	1	2012	10
520	23	3	2013	14
521	23	11	2014	15
522	23	7	2015	12
523	23	5	2016	1
524	23	5	2017	14
525	23	11	2018	1
526	23	2	2019	9
527	23	11	2020	12
528	23	7	2021	11
529	23	13	2022	3
530	24	2	2000	9
531	24	12	2001	13
532	24	13	2002	11
533	24	3	2003	2
534	24	11	2004	3
535	24	8	2005	5
536	24	6	2006	12
537	24	10	2007	13
538	24	3	2008	12
539	24	7	2009	12
540	24	10	2010	5
541	24	7	2011	11
542	24	13	2012	4
543	24	13	2013	11
544	24	3	2014	11
545	24	13	2015	2
546	24	2	2016	15
547	24	9	2017	3
548	24	2	2018	11
549	24	7	2019	13
550	24	6	2020	1
551	24	2	2021	2
552	24	5	2022	14
553	25	12	2000	3
554	25	9	2001	3
555	25	2	2002	2
556	25	2	2003	8
557	25	4	2004	2
558	25	8	2005	12
559	25	10	2006	13
560	25	12	2007	13
561	25	13	2008	8
562	25	12	2009	15
563	25	8	2010	12
564	25	13	2011	11
565	25	11	2012	7
566	25	1	2013	8
567	25	1	2014	10
568	25	9	2015	11
569	25	13	2016	12
570	25	10	2017	2
571	25	6	2018	14
572	25	2	2019	13
573	25	4	2020	9
574	25	11	2021	3
575	25	5	2022	14
576	26	2	2000	12
577	26	11	2001	4
578	26	9	2002	13
579	26	6	2003	7
580	26	8	2004	13
581	26	7	2005	3
582	26	2	2006	3
583	26	7	2007	9
584	26	9	2008	1
585	26	5	2009	7
586	26	7	2010	2
587	26	2	2011	7
588	26	6	2012	12
589	26	11	2013	1
590	26	9	2014	15
591	26	13	2015	2
592	26	7	2016	12
593	26	9	2017	13
594	26	1	2018	3
595	26	4	2019	3
596	26	10	2020	15
597	26	12	2021	3
598	26	13	2022	2
599	27	5	2000	0
600	27	6	2001	8
601	27	3	2002	3
602	27	5	2003	6
603	27	5	2004	9
604	27	6	2005	9
605	27	10	2006	14
606	27	11	2007	4
607	27	2	2008	10
608	27	4	2009	7
609	27	8	2010	0
610	27	4	2011	11
611	27	10	2012	0
612	27	4	2013	1
613	27	13	2014	4
614	27	8	2015	13
615	27	4	2016	8
616	27	6	2017	14
617	27	3	2018	12
618	27	10	2019	8
619	27	7	2020	11
620	27	5	2021	9
621	27	5	2022	4
622	28	2	2000	11
623	28	10	2001	15
624	28	3	2002	10
625	28	13	2003	7
626	28	1	2004	15
627	28	7	2005	13
628	28	5	2006	12
629	28	12	2007	2
630	28	12	2008	1
631	28	10	2009	8
632	28	3	2010	6
633	28	10	2011	9
634	28	1	2012	0
635	28	5	2013	13
636	28	10	2014	0
637	28	1	2015	7
638	28	12	2016	2
639	28	9	2017	13
640	28	6	2018	5
641	28	2	2019	15
642	28	9	2020	7
643	28	11	2021	0
644	28	2	2022	11
645	29	10	2000	9
646	29	4	2001	5
647	29	6	2002	4
648	29	7	2003	9
649	29	6	2004	10
650	29	11	2005	9
651	29	1	2006	1
652	29	10	2007	12
653	29	10	2008	6
654	29	10	2009	3
655	29	9	2010	12
656	29	1	2011	1
657	29	11	2012	6
658	29	12	2013	7
659	29	12	2014	14
660	29	10	2015	6
661	29	6	2016	10
662	29	7	2017	10
663	29	3	2018	7
664	29	7	2019	1
665	29	4	2020	0
666	29	11	2021	11
667	29	9	2022	13
668	30	13	2000	8
669	30	6	2001	1
670	30	11	2002	3
671	30	13	2003	1
672	30	9	2004	3
673	30	12	2005	14
674	30	9	2006	13
675	30	11	2007	3
676	30	6	2008	4
677	30	2	2009	6
678	30	2	2010	7
679	30	8	2011	12
680	30	10	2012	9
681	30	11	2013	15
682	30	12	2014	2
683	30	4	2015	14
684	30	13	2016	4
685	30	9	2017	13
686	30	13	2018	7
687	30	10	2019	9
688	30	3	2020	1
689	30	1	2021	14
690	30	9	2022	9
691	31	7	2000	12
692	31	4	2001	13
693	31	1	2002	11
694	31	8	2003	3
695	31	9	2004	0
696	31	9	2005	1
697	31	5	2006	10
698	31	5	2007	12
699	31	6	2008	9
700	31	13	2009	1
701	31	9	2010	7
702	31	8	2011	14
703	31	7	2012	6
704	31	2	2013	4
705	31	4	2014	1
706	31	5	2015	7
707	31	6	2016	5
708	31	6	2017	2
709	31	11	2018	1
710	31	2	2019	14
711	31	8	2020	1
712	31	8	2021	14
713	31	5	2022	11
714	32	2	2000	8
715	32	12	2001	4
716	32	2	2002	11
717	32	3	2003	12
718	32	4	2004	5
719	32	10	2005	5
720	32	13	2006	12
721	32	3	2007	10
722	32	9	2008	3
723	32	10	2009	12
724	32	12	2010	11
725	32	10	2011	14
726	32	1	2012	13
727	32	2	2013	1
728	32	4	2014	0
729	32	4	2015	10
730	32	3	2016	5
731	32	1	2017	15
732	32	13	2018	5
733	32	7	2019	10
734	32	3	2020	0
735	32	1	2021	7
736	32	2	2022	3
737	33	5	2000	10
738	33	11	2001	15
739	33	10	2002	9
740	33	3	2003	10
741	33	6	2004	7
742	33	11	2005	9
743	33	12	2006	7
744	33	11	2007	3
745	33	1	2008	13
746	33	6	2009	3
747	33	8	2010	15
748	33	5	2011	6
749	33	5	2012	3
750	33	11	2013	2
751	33	8	2014	5
752	33	7	2015	11
753	33	3	2016	12
754	33	12	2017	11
755	33	2	2018	7
756	33	6	2019	3
757	33	7	2020	15
758	33	4	2021	11
759	33	9	2022	2
760	34	13	2000	7
761	34	7	2001	12
762	34	12	2002	14
763	34	11	2003	9
764	34	5	2004	4
765	34	13	2005	4
766	34	5	2006	0
767	34	1	2007	5
768	34	9	2008	9
769	34	3	2009	6
770	34	11	2010	7
771	34	13	2011	10
772	34	13	2012	13
773	34	3	2013	9
774	34	12	2014	2
775	34	4	2015	4
776	34	10	2016	7
777	34	2	2017	1
778	34	12	2018	8
779	34	11	2019	14
780	34	4	2020	10
781	34	4	2021	8
782	34	13	2022	6
783	35	7	2000	0
784	35	8	2001	5
785	35	13	2002	14
786	35	3	2003	4
787	35	5	2004	10
788	35	5	2005	3
789	35	8	2006	10
790	35	11	2007	6
791	35	4	2008	0
792	35	3	2009	15
793	35	4	2010	2
794	35	1	2011	15
795	35	4	2012	14
796	35	9	2013	14
797	35	7	2014	4
798	35	5	2015	0
799	35	8	2016	5
800	35	6	2017	11
801	35	1	2018	3
802	35	4	2019	0
803	35	10	2020	8
804	35	10	2021	2
805	35	1	2022	8
806	36	3	2000	9
807	36	5	2001	3
808	36	8	2002	10
809	36	10	2003	14
810	36	9	2004	15
811	36	11	2005	9
812	36	5	2006	4
813	36	12	2007	5
814	36	10	2008	1
815	36	7	2009	4
816	36	5	2010	6
817	36	8	2011	12
818	36	10	2012	5
819	36	4	2013	12
820	36	2	2014	15
821	36	5	2015	9
822	36	11	2016	11
823	36	3	2017	13
824	36	7	2018	0
825	36	8	2019	1
826	36	12	2020	4
827	36	6	2021	6
828	36	1	2022	13
829	37	6	2000	2
830	37	7	2001	9
831	37	4	2002	15
832	37	13	2003	15
833	37	5	2004	4
834	37	12	2005	15
835	37	4	2006	12
836	37	13	2007	12
837	37	6	2008	10
838	37	13	2009	11
839	37	7	2010	10
840	37	9	2011	13
841	37	6	2012	4
842	37	9	2013	3
843	37	12	2014	13
844	37	5	2015	10
845	37	3	2016	4
846	37	1	2017	11
847	37	4	2018	4
848	37	7	2019	13
849	37	7	2020	0
850	37	10	2021	2
851	37	5	2022	13
852	38	11	2000	4
853	38	4	2001	5
854	38	1	2002	2
855	38	10	2003	14
856	38	1	2004	5
857	38	11	2005	15
858	38	3	2006	2
859	38	7	2007	12
860	38	2	2008	1
861	38	4	2009	13
862	38	4	2010	5
863	38	3	2011	10
864	38	1	2012	2
865	38	12	2013	0
866	38	11	2014	9
867	38	1	2015	11
868	38	10	2016	3
869	38	9	2017	2
870	38	13	2018	11
871	38	6	2019	4
872	38	3	2020	4
873	38	5	2021	0
874	38	10	2022	0
875	39	10	2000	6
876	39	2	2001	8
877	39	9	2002	5
878	39	10	2003	6
879	39	7	2004	10
880	39	10	2005	11
881	39	1	2006	11
882	39	9	2007	3
883	39	9	2008	3
884	39	4	2009	8
885	39	1	2010	15
886	39	12	2011	3
887	39	13	2012	14
888	39	4	2013	14
889	39	7	2014	3
890	39	4	2015	8
891	39	4	2016	7
892	39	13	2017	0
893	39	4	2018	13
894	39	3	2019	6
895	39	8	2020	14
896	39	9	2021	4
897	39	3	2022	7
898	40	4	2000	12
899	40	8	2001	12
900	40	2	2002	1
901	40	3	2003	3
902	40	9	2004	13
903	40	3	2005	11
904	40	7	2006	1
905	40	2	2007	7
906	40	2	2008	5
907	40	6	2009	12
908	40	6	2010	2
909	40	3	2011	9
910	40	4	2012	4
911	40	8	2013	13
912	40	5	2014	11
913	40	1	2015	9
914	40	4	2016	3
915	40	2	2017	15
916	40	1	2018	0
917	40	10	2019	11
918	40	5	2020	0
919	40	10	2021	10
920	40	8	2022	15
921	41	5	2000	9
922	41	9	2001	15
923	41	4	2002	15
924	41	11	2003	4
925	41	7	2004	15
926	41	7	2005	14
927	41	9	2006	15
928	41	13	2007	12
929	41	9	2008	6
930	41	10	2009	6
931	41	4	2010	7
932	41	8	2011	9
933	41	9	2012	6
934	41	7	2013	2
935	41	8	2014	9
936	41	12	2015	2
937	41	2	2016	2
938	41	11	2017	2
939	41	8	2018	3
940	41	11	2019	8
941	41	11	2020	15
942	41	5	2021	11
943	41	8	2022	12
944	42	2	2000	2
945	42	1	2001	4
946	42	11	2002	5
947	42	6	2003	3
948	42	6	2004	5
949	42	13	2005	3
950	42	3	2006	8
951	42	6	2007	9
952	42	2	2008	1
953	42	12	2009	11
954	42	6	2010	1
955	42	10	2011	9
956	42	11	2012	12
957	42	9	2013	6
958	42	3	2014	3
959	42	10	2015	9
960	42	12	2016	1
961	42	9	2017	1
962	42	9	2018	2
963	42	12	2019	12
964	42	9	2020	10
965	42	4	2021	13
966	42	13	2022	12
967	43	9	2000	3
968	43	1	2001	11
969	43	7	2002	14
970	43	8	2003	4
971	43	4	2004	3
972	43	2	2005	11
973	43	5	2006	12
974	43	3	2007	13
975	43	3	2008	2
976	43	10	2009	12
977	43	10	2010	5
978	43	12	2011	2
979	43	5	2012	11
980	43	5	2013	12
981	43	12	2014	10
982	43	13	2015	8
983	43	10	2016	8
984	43	1	2017	14
985	43	4	2018	10
986	43	5	2019	4
987	43	9	2020	13
988	43	2	2021	14
989	43	6	2022	11
990	44	12	2000	8
991	44	2	2001	13
992	44	4	2002	8
993	44	8	2003	3
994	44	13	2004	3
995	44	10	2005	15
996	44	5	2006	14
997	44	5	2007	14
998	44	6	2008	4
999	44	1	2009	15
1000	44	9	2010	13
1001	44	4	2011	4
1002	44	10	2012	11
1003	44	6	2013	4
1004	44	12	2014	6
1005	44	4	2015	7
1006	44	4	2016	5
1007	44	11	2017	14
1008	44	11	2018	1
1009	44	10	2019	7
1010	44	7	2020	12
1011	44	12	2021	1
1012	44	6	2022	13
1013	45	12	2000	4
1014	45	8	2001	8
1015	45	4	2002	0
1016	45	7	2003	1
1017	45	6	2004	2
1018	45	5	2005	11
1019	45	9	2006	1
1020	45	12	2007	7
1021	45	13	2008	13
1022	45	6	2009	15
1023	45	7	2010	6
1024	45	11	2011	10
1025	45	3	2012	8
1026	45	8	2013	11
1027	45	1	2014	4
1028	45	10	2015	14
1029	45	6	2016	7
1030	45	13	2017	11
1031	45	13	2018	9
1032	45	8	2019	0
1033	45	11	2020	15
1034	45	2	2021	15
1035	45	8	2022	13
1036	46	11	2000	2
1037	46	4	2001	11
1038	46	3	2002	5
1039	46	5	2003	10
1040	46	1	2004	7
1041	46	10	2005	9
1042	46	5	2006	4
1043	46	12	2007	2
1044	46	3	2008	7
1045	46	6	2009	1
1046	46	9	2010	2
1047	46	5	2011	10
1048	46	12	2012	12
1049	46	5	2013	5
1050	46	4	2014	13
1051	46	6	2015	6
1052	46	9	2016	1
1053	46	4	2017	0
1054	46	11	2018	1
1055	46	3	2019	2
1056	46	9	2020	10
1057	46	3	2021	3
1058	46	12	2022	6
1059	47	4	2000	11
1060	47	6	2001	14
1061	47	1	2002	8
1062	47	2	2003	1
1063	47	9	2004	10
1064	47	1	2005	6
1065	47	10	2006	15
1066	47	4	2007	12
1067	47	2	2008	1
1068	47	3	2009	1
1069	47	13	2010	14
1070	47	13	2011	14
1071	47	5	2012	2
1072	47	1	2013	12
1073	47	11	2014	12
1074	47	7	2015	0
1075	47	9	2016	3
1076	47	13	2017	1
1077	47	5	2018	11
1078	47	10	2019	10
1079	47	11	2020	8
1080	47	8	2021	15
1081	47	1	2022	5
1082	48	2	2000	4
1083	48	10	2001	1
1084	48	9	2002	4
1085	48	2	2003	8
1086	48	13	2004	4
1087	48	5	2005	1
1088	48	2	2006	1
1089	48	2	2007	11
1090	48	7	2008	11
1091	48	3	2009	1
1092	48	7	2010	13
1093	48	2	2011	0
1094	48	12	2012	14
1095	48	10	2013	8
1096	48	5	2014	15
1097	48	11	2015	10
1098	48	9	2016	11
1099	48	8	2017	11
1100	48	9	2018	15
1101	48	10	2019	12
1102	48	11	2020	9
1103	48	3	2021	13
1104	48	6	2022	2
1105	49	9	2000	8
1106	49	7	2001	11
1107	49	4	2002	5
1108	49	5	2003	6
1109	49	7	2004	1
1110	49	11	2005	10
1111	49	3	2006	13
1112	49	13	2007	4
1113	49	6	2008	10
1114	49	12	2009	2
1115	49	9	2010	0
1116	49	12	2011	3
1117	49	6	2012	0
1118	49	6	2013	2
1119	49	11	2014	3
1120	49	11	2015	4
1121	49	12	2016	0
1122	49	4	2017	13
1123	49	10	2018	13
1124	49	12	2019	1
1125	49	6	2020	13
1126	49	12	2021	2
1127	49	2	2022	11
1128	50	13	2000	14
1129	50	10	2001	2
1130	50	2	2002	4
1131	50	1	2003	6
1132	50	1	2004	6
1133	50	5	2005	13
1134	50	6	2006	10
1135	50	10	2007	7
1136	50	12	2008	2
1137	50	8	2009	5
1138	50	6	2010	0
1139	50	12	2011	9
1140	50	12	2012	2
1141	50	7	2013	3
1142	50	2	2014	0
1143	50	5	2015	12
1144	50	2	2016	8
1145	50	5	2017	10
1146	50	5	2018	9
1147	50	5	2019	4
1148	50	1	2020	9
1149	50	2	2021	4
1150	50	11	2022	5
1151	51	3	2000	0
1152	51	8	2001	14
1153	51	4	2002	13
1154	51	6	2003	13
1155	51	4	2004	14
1156	51	7	2005	2
1157	51	8	2006	10
1158	51	5	2007	11
1159	51	8	2008	4
1160	51	6	2009	7
1161	51	4	2010	12
1162	51	12	2011	15
1163	51	12	2012	6
1164	51	4	2013	10
1165	51	7	2014	10
1166	51	1	2015	3
1167	51	3	2016	9
1168	51	7	2017	10
1169	51	2	2018	0
1170	51	1	2019	12
1171	51	6	2020	15
1172	51	6	2021	7
1173	51	2	2022	6
1174	52	4	2000	2
1175	52	12	2001	12
1176	52	13	2002	6
1177	52	7	2003	13
1178	52	7	2004	4
1179	52	13	2005	14
1180	52	10	2006	3
1181	52	11	2007	12
1182	52	6	2008	6
1183	52	8	2009	0
1184	52	3	2010	1
1185	52	13	2011	9
1186	52	9	2012	6
1187	52	12	2013	10
1188	52	11	2014	2
1189	52	7	2015	4
1190	52	12	2016	1
1191	52	8	2017	0
1192	52	12	2018	3
1193	52	11	2019	5
1194	52	12	2020	10
1195	52	6	2021	13
1196	52	12	2022	7
1197	53	1	2000	13
1198	53	4	2001	13
1199	53	2	2002	10
1200	53	3	2003	4
1201	53	12	2004	7
1202	53	10	2005	8
1203	53	9	2006	3
1204	53	6	2007	1
1205	53	13	2008	2
1206	53	9	2009	15
1207	53	1	2010	9
1208	53	8	2011	13
1209	53	12	2012	0
1210	53	11	2013	7
1211	53	2	2014	3
1212	53	10	2015	14
1213	53	5	2016	6
1214	53	5	2017	10
1215	53	12	2018	1
1216	53	8	2019	4
1217	53	1	2020	6
1218	53	9	2021	12
1219	53	11	2022	14
1220	54	4	2000	10
1221	54	7	2001	8
1222	54	6	2002	8
1223	54	10	2003	13
1224	54	11	2004	8
1225	54	9	2005	7
1226	54	2	2006	1
1227	54	6	2007	14
1228	54	7	2008	8
1229	54	9	2009	3
1230	54	11	2010	8
1231	54	2	2011	2
1232	54	3	2012	13
1233	54	10	2013	8
1234	54	7	2014	10
1235	54	4	2015	4
1236	54	7	2016	1
1237	54	5	2017	15
1238	54	1	2018	1
1239	54	3	2019	5
1240	54	1	2020	9
1241	54	2	2021	4
1242	54	10	2022	15
1243	55	7	2000	8
1244	55	7	2001	6
1245	55	10	2002	11
1246	55	12	2003	12
