ID	ingatlanID	tulajID	mettol	meddig
359	17	20	2005	2014
360	62	26	2004	2016
361	42	10	2002	2011
362	36	35	2004	2015
363	58	13	2008	2018
364	46	5	2007	2015
365	45	27	2004	2014
366	87	31	2005	2015
367	77	34	2009	2015
368	40	43	2007	2020
369	15	3	2009	2020
370	76	47	2004	2018
371	74	5	2004	2015
372	89	11	2007	2015
373	13	4	2003	2012
374	90	12	2005	2013
375	58	22	2005	2013
376	11	50	2003	2019
377	38	10	2000	2020
378	41	2	2007	2015
379	62	17	2010	2016
380	28	32	2009	2019
381	66	8	2001	2017
382	45	49	2000	2020
383	76	38	2001	2018
384	26	13	2003	2013
385	10	21	2008	2016
386	86	9	2010	2016
387	58	42	2007	2012
388	92	9	2001	2017
389	32	43	2000	2019
390	51	39	2006	2020
391	84	42	2010	2016
392	62	30	2006	2016
393	30	30	2008	2018
394	79	1	2006	2014
395	56	23	2002	2015
396	65	33	2002	2015
397	8	39	2005	2015
398	41	11	2003	2017
399	47	20	2009	2014
400	77	6	2001	2014
401	46	10	2009	2016
402	78	41	2003	2018
403	42	26	2008	2015
404	11	41	2002	2018
405	77	49	2010	2020
406	92	8	2000	2019
407	44	7	2003	2018
408	15	15	2002	2016
409	8	39	2002	2017
410	28	46	2007	2013
411	82	33	2007	2015
412	61	29	2009	2018
413	81	20	2000	2016
414	18	50	2005	2011
415	84	37	2005	2012
416	35	39	2003	2011
417	44	34	2009	2011
418	66	46	2010	2016
419	9	38	2009	2012
420	21	15	2006	2015
421	24	7	2000	2011
422	80	39	2003	2015
423	49	18	2004	2020
424	100	12	2002	2012
425	96	21	2003	2018
426	80	27	2005	2020
427	98	40	2002	2013
428	2	43	2004	2013
429	20	41	2008	2017
430	65	1	2009	2020
431	34	32	2006	2019
432	22	49	2000	2013
433	45	8	2002	2019
434	30	10	2008	2016
435	50	3	2009	2018
436	97	8	2010	2013
437	61	14	2009	2020
438	40	36	2008	2013
439	68	14	2010	2019
440	32	49	2008	2011
441	15	24	2009	2014
442	90	27	2009	2014
443	96	43	2007	2015
444	90	50	2002	2020
445	27	9	2000	2019
446	36	12	2007	2017
447	48	38	2004	2020
448	96	10	2004	2019
449	38	14	2000	2020
450	29	29	2001	2016
451	68	20	2005	2017
452	55	44	2004	2017
453	75	36	2010	2018
454	81	30	2001	2013
455	17	36	2006	2011
456	16	19	2000	2012
457	19	28	2005	2012
458	69	45	2009	2015
459	12	38	2002	2020
460	12	43	2008	2020
461	67	18	2003	2017
462	3	15	2006	2015
463	62	50	2002	2014
464	96	46	2000	2016
465	23	11	2002	2017
466	20	24	2004	2013
467	39	36	2008	2013
468	95	45	2003	2017
469	72	8	2010	2020
470	20	34	2003	2015
471	62	45	2007	2016
472	29	42	2005	2012
473	37	37	2008	2020
474	96	42	2000	2013
475	74	44	2010	2011
476	26	48	2004	2014
477	100	13	2000	2018
478	56	16	2008	2012
479	2	35	2005	2016
480	84	13	2010	2014
481	32	45	2005	2012
482	96	49	2007	2011
483	35	31	2004	2013
484	94	26	2002	2017
485	61	35	2004	2012
486	31	8	2005	2020
487	2	13	2001	2013
488	54	44	2008	2012
489	17	22	2009	2018
490	17	4	2003	2014
491	56	42	2002	2014
492	22	10	2004	2012
493	41	33	2004	2014
494	73	27	2009	2018
495	62	20	2008	2016
496	18	6	2006	2020
497	87	19	2006	2018
498	36	44	2004	2018
499	81	47	2004	2019
500	37	18	2005	2016
