rendszam	tipus	szin	motortipusID	tulajID	uzembehelyezeseve
DOF-959	Opel	fekete	22	176	2003
IIX-132	Volkswagen	kék	24	635	2002
ENT-219	Skoda	narancs	14	595	2019
KAW-956	Porsche	narancs	12	562	2020
ZJN-942	Volkswagen	barna	17	83	2005
XFY-602	Volkswagen	ezüst	7	154	1997
RJM-676	Seat	piros	4	329	2004
LLB-536	Toyota	ezüst	23	621	2022
KOI-654	Subaru	szürke	11	76	2012
FAY-931	Skoda	lila	20	587	2023
YJK-530	Dacia	citromsárga	1	155	2003
HHM-536	Suzuki	barna	15	267	2017
JIT-986	Seat	lila	17	277	2005
LXJ-165	Dacia	narancs	16	177	1996
JHK-597	Renault	lila	26	323	1997
XAQ-774	Subaru	ezüst	16	538	2021
AHV-636	Dacia	fekete	26	645	2010
EOO-139	BMW	ezüst	18	491	2022
ELV-260	Seat	piros	8	98	2008
JDZ-253	Toyota	szürke	30	103	2022
PRO-918	BMW	bordó	17	152	2023
OTU-028	Opel	narancs	12	281	2001
VII-739	Nissan	barna	16	137	1998
ENP-010	Porsche	lila	10	63	2001
OOE-728	Suzuki	arany	30	327	1998
QUZ-158	Porsche	citromsárga	13	31	1996
XWM-208	Porsche	zöld	19	118	2011
IBK-603	Suzuki	bordó	20	207	2008
LAI-279	Ford	ezüst	25	345	2003
YXU-638	Ford	kék	28	440	1997
WDW-200	Suzuki	arany	5	17	2004
EYY-978	Suzuki	barna	26	592	2019
SRI-975	Honda	citromsárga	3	467	1999
VLX-897	Dacia	bordó	9	428	2017
WNL-425	Volkswagen	fekete	24	513	2001
ISI-719	Peugeot	rózsaszín	21	607	2020
SHW-526	Skoda	barna	5	70	2008
SGX-419	Nissan	lila	28	484	1999
WEF-010	Seat	zöld	8	411	2022
AZK-934	Opel	fekete	16	434	2022
HVY-090	Opel	fehér	16	209	2003
ERS-903	Toyota	fehér	23	521	2014
WWZ-038	Ford	ezüst	1	265	2014
XHS-303	Volkswagen	fekete	2	287	2021
OBW-142	Dacia	barna	8	538	2014
VYI-449	Porsche	kék	20	260	2008
WOZ-031	Seat	kék	9	555	2017
YBU-788	Honda	narancs	22	489	2018
UJV-408	Seat	barna	2	426	1995
QEK-334	Skoda	arany	22	324	2020
LSA-406	BMW	fekete	21	194	2013
SEQ-932	Seat	fekete	16	101	2000
LJA-755	Dacia	rózsaszín	18	518	2007
MHA-155	Opel	szürke	2	531	2004
ZAG-250	Nissan	citromsárga	30	259	2022
OUH-918	Dacia	lila	18	492	2015
SPV-262	Renault	barna	21	352	2006
BTZ-106	Peugeot	bordó	5	639	2001
GGC-595	Volvo	bordó	14	591	1999
DPK-594	Seat	narancs	30	480	2011
CWC-361	Porsche	ezüst	3	642	1996
CVX-550	Volkswagen	zöld	25	369	1996
OYN-580	Renault	rózsaszín	24	50	2004
HRF-247	Ford	zöld	8	464	2005
FUD-532	Porsche	narancs	1	629	2010
ZCU-994	Honda	szürke	18	260	2013
COS-466	Porsche	fehér	23	463	1995
CGO-616	Renault	citromsárga	15	148	1997
FPC-552	Nissan	ezüst	5	577	2008
HQN-852	Peugeot	lila	17	407	2010
GIH-351	Volvo	bordó	5	240	1998
XXH-412	Volvo	arany	14	639	2002
VUZ-526	Peugeot	narancs	1	629	1997
KDS-397	Nissan	lila	18	251	2006
TWA-061	Porsche	lila	19	130	2008
AYK-147	Toyota	arany	15	307	2006
IMY-241	Dacia	ezüst	30	333	1996
RXR-374	Porsche	citromsárga	26	160	2011
HYR-555	Seat	lila	4	73	2002
NFR-568	Volvo	szürke	17	120	2016
UNA-146	Porsche	rózsaszín	16	270	2023
HMS-867	BMW	lila	20	457	2015
FWI-983	Dacia	rózsaszín	9	186	2021
RZL-781	Peugeot	ezüst	18	326	2001
DTT-488	Toyota	barna	30	388	2014
FXM-145	Porsche	rózsaszín	15	330	2014
JNJ-205	Ford	fehér	27	250	2000
YAC-116	Toyota	fehér	18	493	2011
WEA-096	Honda	zöld	11	634	2021
TAS-595	Porsche	ezüst	3	641	2014
WVY-133	Porsche	lila	3	93	1996
VJR-723	Honda	narancs	19	540	2014
YHP-327	Renault	lila	19	199	2009
SQJ-753	Volkswagen	szürke	9	58	2003
ASJ-879	Seat	narancs	26	620	2004
OBH-637	Seat	lila	26	237	2020
ZRB-216	Toyota	ezüst	27	577	2001
VPQ-190	Subaru	arany	19	283	2013
CFZ-060	Subaru	kék	7	188	1997
SWS-791	Dacia	fekete	29	237	2004
QXV-835	Opel	barna	26	37	2021
HDV-937	Renault	arany	2	340	2005
DGJ-036	Ford	zöld	25	618	2016
VON-812	Volvo	piros	15	552	2015
VBL-310	BMW	szürke	21	566	2014
FHH-344	BMW	narancs	23	97	1999
IBO-214	Dacia	ezüst	14	100	2004
WPF-751	Suzuki	rózsaszín	25	217	2023
XCN-096	BMW	bordó	12	54	1998
PDL-895	Subaru	szürke	25	469	2002
LVR-099	Nissan	fekete	18	421	2000
LFV-846	Ford	narancs	30	296	1997
ZNE-954	Suzuki	rózsaszín	9	638	2010
OXV-772	Porsche	lila	12	48	1996
IHT-336	Porsche	fekete	5	419	1998
ASO-377	BMW	narancs	5	72	2017
IKK-871	Dacia	ezüst	15	430	2019
YPX-875	Seat	barna	30	5	1996
STI-528	Seat	fekete	14	186	1998
RPN-515	Volvo	ezüst	8	508	2011
NBD-165	Suzuki	lila	27	536	2013
IFS-631	BMW	barna	19	449	2021
HMN-333	Nissan	piros	10	411	2016
DAO-725	Dacia	zöld	25	643	2014
NIH-667	Dacia	zöld	19	647	2015
RAW-960	Nissan	ezüst	27	89	2022
PLY-457	Skoda	lila	3	343	1997
NWJ-245	BMW	lila	10	367	2021
GXO-668	Nissan	narancs	16	39	2018
BJN-802	Porsche	barna	25	447	2018
XSW-356	BMW	piros	12	270	2007
MMT-147	Seat	bordó	22	494	2016
FPK-844	BMW	fekete	30	171	2010
PGN-684	Volkswagen	fehér	2	641	2019
OJO-591	Honda	lila	5	590	2013
LGJ-756	Toyota	narancs	28	34	2021
LGE-804	Seat	barna	16	87	1999
HQW-533	Nissan	bordó	5	145	2022
YHD-990	BMW	piros	17	300	2020
DOW-350	Skoda	piros	14	317	2023
KMN-515	Seat	szürke	8	220	2006
BIZ-563	Porsche	szürke	12	403	2012
AKX-562	Opel	piros	5	113	2017
CGK-286	Volvo	rózsaszín	3	571	2017
QZU-872	Dacia	szürke	18	88	1996
FQF-665	Volkswagen	piros	24	34	2004
GOE-990	BMW	arany	19	370	2020
MXO-194	Peugeot	szürke	23	30	2010
SEV-003	Nissan	fehér	26	587	2021
RWS-936	Dacia	piros	30	176	1998
YLG-837	Volvo	arany	7	156	1997
WBG-117	Porsche	ezüst	25	168	1997
ZNH-191	Nissan	fekete	20	587	2004
KFM-565	Volvo	bordó	8	633	2006
OSX-716	Seat	bordó	2	297	1996
TRB-556	Ford	ezüst	12	36	2003
XTB-338	Subaru	ezüst	27	297	2002
GUS-548	Seat	fehér	13	275	2023
QIV-396	BMW	szürke	10	115	2014
TSL-116	Nissan	lila	2	335	2022
ELT-103	Volkswagen	ezüst	29	214	2011
CSR-605	Suzuki	citromsárga	1	621	2010
ZCA-996	Toyota	barna	15	478	2009
WOT-829	Dacia	citromsárga	8	145	2021
WYP-044	Subaru	fehér	24	268	2015
KNA-419	Volvo	arany	3	565	2021
JZP-211	Volvo	kék	6	165	2010
JYR-365	Volkswagen	rózsaszín	8	541	2010
SMT-567	Porsche	bordó	16	105	2003
CUJ-109	Toyota	piros	9	183	2002
NHS-765	Volvo	piros	19	97	1997
FXJ-587	Dacia	bordó	17	71	2000
EYH-755	Opel	szürke	15	243	2003
QBL-498	Ford	bordó	20	153	2018
JPA-321	Nissan	zöld	15	157	2010
IVM-063	Ford	piros	21	296	2002
XIJ-358	Volvo	narancs	21	499	2010
VKO-176	Dacia	bordó	13	4	2008
OXO-374	Opel	rózsaszín	3	89	2008
FCS-179	Subaru	ezüst	20	479	2005
PXQ-180	Renault	lila	7	162	2004
RRF-222	Seat	arany	12	564	2000
WEH-937	BMW	barna	6	460	2016
LWK-954	Seat	bordó	28	193	2001
XDB-323	Ford	barna	22	97	1998
RFH-707	BMW	piros	17	205	2023
GYY-776	Volkswagen	ezüst	9	445	2012
JVB-959	Subaru	fekete	11	427	2011
OBK-242	Toyota	kék	11	587	2000
BDR-014	Honda	lila	16	454	1999
EIA-655	Volvo	arany	14	450	1996
UUI-982	Dacia	ezüst	16	616	2008
AVF-702	Opel	fehér	1	62	1995
NBA-801	BMW	citromsárga	6	621	2003
HTY-200	Subaru	lila	5	126	1998
JKM-818	Toyota	zöld	8	635	2010
YSB-510	Dacia	citromsárga	13	206	1997
OYB-571	Suzuki	piros	18	208	2018
QAO-719	Peugeot	lila	17	500	2020
UDA-234	Porsche	lila	21	191	2013
FKG-381	Opel	fehér	2	187	2022
QXG-945	Nissan	citromsárga	20	31	1995
CBS-207	Skoda	lila	17	308	2014
VFL-181	Opel	bordó	29	87	2020
NQK-702	Seat	lila	6	496	2022
KXH-122	Volvo	barna	29	573	2009
MZU-036	BMW	kék	10	514	2008
KHW-969	Opel	piros	19	192	2019
EQH-927	BMW	ezüst	10	562	2012
INP-490	Peugeot	lila	1	89	2002
OBU-940	Seat	lila	16	539	2012
XGP-642	Peugeot	kék	6	500	2001
ICG-833	Suzuki	arany	1	98	1995
VMS-590	Honda	barna	25	634	2003
ANX-386	Peugeot	arany	16	288	2003
QDX-372	Peugeot	piros	30	558	2015
QMK-559	Porsche	citromsárga	25	264	2022
FDE-673	Peugeot	lila	30	96	2016
GHU-708	Renault	zöld	20	272	2017
QZI-979	Opel	lila	17	234	2005
LHU-473	Porsche	arany	6	459	2002
IOB-708	Nissan	kék	1	258	1999
EEZ-824	Renault	barna	7	41	2008
MNX-901	Skoda	fehér	30	45	2011
WWS-220	Nissan	fekete	27	90	2007
ILA-536	Toyota	piros	6	284	2014
WOZ-022	Honda	kék	19	568	2011
PED-684	Honda	rózsaszín	24	323	2010
WMG-864	Volvo	fehér	11	144	2003
FJB-885	Renault	fehér	15	577	2008
HZU-099	Suzuki	ezüst	2	452	2012
MDI-683	BMW	citromsárga	18	444	2012
EAG-424	Skoda	lila	22	6	2022
CTM-878	Volkswagen	fekete	8	240	2011
BRC-229	Peugeot	lila	13	559	2009
KDH-530	BMW	ezüst	27	310	2022
LAC-943	Dacia	lila	2	188	2009
FBL-011	Skoda	zöld	3	553	2003
WOK-677	Nissan	fehér	8	334	2019
RVQ-167	BMW	szürke	11	196	2001
NDH-511	Volvo	piros	5	596	1997
VJP-353	Volvo	bordó	3	10	2016
AJC-747	Toyota	szürke	26	446	2015
JYN-338	BMW	kék	1	70	2008
BYZ-109	Toyota	bordó	26	423	2011
SGQ-910	Dacia	szürke	20	33	2018
ZBT-016	Renault	piros	6	336	2017
GON-673	Seat	ezüst	24	603	2001
AYK-405	Seat	rózsaszín	13	136	2010
MXA-829	Suzuki	kék	5	359	2010
XWR-024	Skoda	kék	19	443	2005
HLK-997	Dacia	kék	11	134	2014
ZBZ-144	Volkswagen	barna	10	259	1998
ZKW-706	Peugeot	citromsárga	6	361	2004
FIY-884	Renault	bordó	22	498	2000
EHW-713	Ford	szürke	5	130	2007
ONL-200	Nissan	narancs	6	641	2017
NON-412	Nissan	lila	2	405	1996
YUN-209	BMW	fekete	5	207	2015
ZWM-913	Toyota	barna	28	496	2013
EKY-120	Suzuki	kék	26	256	2008
BDJ-953	Opel	lila	22	504	1995
ZOZ-699	Ford	kék	24	16	2021
HRS-029	Porsche	ezüst	6	75	2022
NLL-905	BMW	fehér	30	67	2007
GQI-018	Opel	piros	5	486	1995
JKS-111	BMW	arany	4	216	2003
WJG-181	BMW	narancs	20	373	1996
VMX-384	Renault	lila	12	306	1999
YKV-253	Dacia	citromsárga	11	306	1997
AMG-860	Opel	arany	28	524	2010
YEV-116	Volkswagen	ezüst	2	249	2007
NNI-749	Volkswagen	barna	26	347	2013
YVL-499	Porsche	kék	17	178	2009
PNN-163	Toyota	citromsárga	24	523	1999
SUV-283	Ford	piros	7	23	1999
EWL-475	Peugeot	barna	10	511	2002
YDG-876	Nissan	rózsaszín	25	288	2021
NYA-790	Subaru	citromsárga	21	31	2003
QEG-337	Suzuki	barna	8	337	2018
KZU-388	Seat	barna	27	355	1999
LZD-185	Opel	arany	12	466	2001
KWI-100	Volkswagen	citromsárga	30	513	2004
CBF-707	BMW	rózsaszín	24	629	1997
NOW-980	Opel	ezüst	5	5	2004
IWM-779	Volvo	lila	16	344	2003
JUP-775	Suzuki	narancs	6	283	2002
PIE-061	Volkswagen	narancs	13	470	1996
GWA-043	Subaru	citromsárga	24	32	1999
SDX-326	Opel	rózsaszín	4	311	2022
OTL-759	Peugeot	fekete	29	184	2010
BLQ-442	Subaru	narancs	25	211	2004
NVL-222	Renault	bordó	29	317	2011
ZJG-846	Opel	fehér	22	123	2008
HBT-115	BMW	piros	22	465	2022
FFF-451	BMW	fehér	25	634	2018
VRE-798	Seat	arany	12	620	2009
KVS-985	Nissan	ezüst	14	485	2018
CZQ-082	Skoda	ezüst	1	75	1999
ZKR-173	Opel	narancs	25	549	2014
PRW-689	Dacia	szürke	12	92	2007
QQG-796	Skoda	lila	23	25	1996
HMW-864	Honda	bordó	28	455	2014
KLZ-728	Seat	bordó	28	12	2016
OPG-710	BMW	ezüst	10	242	2017
GUY-574	Suzuki	citromsárga	20	345	1995
WLI-130	Opel	barna	24	435	2016
TWS-673	Opel	narancs	14	411	2001
QUC-098	Honda	barna	10	75	2011
ISU-778	Porsche	piros	30	66	2020
ULV-361	Toyota	piros	9	511	1996
JWL-129	Subaru	arany	13	421	2014
JKH-485	Toyota	lila	30	404	2016
CJF-412	Seat	lila	22	59	2015
TVD-688	Seat	lila	16	211	1997
RNO-080	BMW	ezüst	26	425	2022
OXJ-835	Renault	citromsárga	6	598	2004
BNV-494	Suzuki	barna	21	609	2003
WBV-588	Dacia	lila	25	110	2007
DPN-984	Renault	ezüst	11	164	2016
AKQ-425	Ford	citromsárga	14	183	2020
UUA-225	Seat	arany	2	583	2001
HSJ-908	Nissan	ezüst	22	78	2005
VOZ-692	Honda	rózsaszín	14	458	2002
XVZ-836	Honda	piros	17	111	2012
NYV-049	Dacia	fekete	26	82	2010
JXN-498	Seat	bordó	16	376	2014
RXG-780	Suzuki	citromsárga	5	541	2001
FGF-515	Porsche	barna	27	400	2005
PWF-222	Ford	zöld	10	310	2012
RFN-896	Porsche	szürke	8	475	2013
TYG-210	Peugeot	lila	7	29	2021
HIP-738	Seat	lila	24	642	2021
QPV-935	Volkswagen	barna	2	613	2021
NPQ-239	Peugeot	ezüst	20	644	2006
FEO-724	Opel	bordó	27	462	2001
VXB-008	Honda	fekete	9	603	1999
SUG-355	Toyota	szürke	4	572	2013
VMF-639	Honda	rózsaszín	23	195	2023
NMY-329	Volkswagen	narancs	14	94	2022
KGZ-386	Opel	zöld	22	347	2010
UJR-567	Suzuki	szürke	29	388	2012
MQD-520	BMW	lila	3	147	2022
QMU-302	Toyota	fekete	13	31	2016
UML-275	Seat	barna	28	551	2023
CEW-349	Nissan	rózsaszín	16	258	2003
WOJ-170	Dacia	fekete	15	332	2022
ZVR-984	Seat	narancs	26	69	2022
XUL-286	Seat	barna	16	540	2007
MXR-931	Opel	zöld	13	199	2005
GMR-744	Volkswagen	lila	27	523	2009
TWQ-144	Peugeot	fekete	1	92	1995
URI-202	Volkswagen	bordó	8	589	2002
PJH-006	Volvo	lila	27	649	1998
TGG-194	Opel	zöld	19	185	2002
TIR-591	Ford	barna	5	73	2001
WCS-536	Volkswagen	rózsaszín	5	588	2014
ULK-967	Renault	rózsaszín	19	151	2009
QBW-476	Porsche	lila	17	597	2019
GKE-567	Renault	kék	18	318	2008
YUL-254	Opel	fekete	13	26	2022
NOY-340	Suzuki	ezüst	28	392	2006
KZZ-041	Opel	lila	8	207	2005
TDS-871	Volkswagen	kék	5	38	2012
KWK-869	Honda	narancs	6	639	2013
DME-974	Toyota	lila	16	134	2015
ACT-009	Opel	piros	5	134	2015
CDU-933	Renault	zöld	16	369	2006
GMH-769	Nissan	lila	11	533	2022
PFL-604	Volkswagen	fehér	16	308	1998
DRL-051	Peugeot	narancs	2	97	2011
SHV-397	Honda	rózsaszín	23	634	2010
WCA-564	Porsche	lila	17	636	2011
ZTQ-089	Toyota	lila	18	486	1999
XZW-475	Volvo	fehér	19	535	2002
DLE-773	Skoda	fehér	28	627	1996
OSO-976	BMW	narancs	26	628	2007
QVO-049	Peugeot	fekete	27	156	2000
QQE-293	Seat	lila	8	416	2012
AZW-043	Suzuki	rózsaszín	23	244	2004
LOC-456	Volkswagen	fehér	10	167	1998
JDG-908	Toyota	fekete	7	624	2017
TXF-368	Honda	narancs	3	217	2017
BQO-479	BMW	bordó	28	5	2016
ZAA-615	Toyota	szürke	26	311	2015
ILN-056	Volkswagen	piros	28	73	2010
QUG-174	Volvo	fekete	4	579	2007
DAC-842	Ford	narancs	22	437	2007
ENG-398	Porsche	barna	26	401	2006
WLO-366	Dacia	fehér	24	296	2009
IYF-444	Skoda	kék	30	331	2022
VTF-833	Honda	lila	21	213	2013
ATR-460	Opel	kék	20	165	2021
WIG-183	BMW	barna	6	492	2017
MKQ-705	Toyota	fehér	14	153	2009
ELW-228	Seat	piros	28	339	2010
JRO-969	Renault	piros	19	425	2020
EQS-108	Subaru	zöld	29	567	2017
LYJ-425	Seat	szürke	27	38	2020
DTE-666	Honda	fehér	29	278	2003
ACC-131	BMW	barna	24	577	2012
LHI-981	Nissan	lila	15	493	2017
WPS-647	Volkswagen	arany	21	202	2012
FLL-748	Ford	lila	1	23	1996
ZGP-569	Volvo	lila	14	568	2005
XNN-515	Volkswagen	szürke	9	602	2023
VXI-201	Renault	ezüst	6	423	2002
AKF-116	Volkswagen	zöld	8	87	2010
ERV-724	Volvo	barna	12	484	2023
AXU-801	Peugeot	szürke	30	431	1995
JRI-701	Dacia	piros	1	42	1999
SQM-232	Porsche	ezüst	11	333	2007
WMD-432	Honda	szürke	28	310	2010
DIU-099	Ford	barna	19	358	2008
STD-086	Opel	fekete	9	609	1997
BDS-217	Honda	narancs	4	179	2003
GEN-768	Seat	zöld	8	150	2019
PIU-290	BMW	lila	21	207	2021
MPN-987	Dacia	barna	24	288	2010
SKK-088	Seat	piros	30	310	2022
DPF-020	Porsche	rózsaszín	14	323	2013
PKM-083	Opel	lila	8	450	1995
PBB-295	Honda	fehér	2	494	2016
CHC-026	Renault	lila	24	445	1998
RAN-777	Toyota	lila	26	173	2004
VKK-211	Subaru	fekete	13	613	1997
OFD-456	Nissan	piros	8	370	2017
YWO-671	Seat	lila	28	75	2010
SLQ-347	Peugeot	fekete	13	287	2001
RNO-867	Suzuki	kék	21	113	2014
IZF-030	Suzuki	lila	2	29	2008
ZQU-114	Peugeot	bordó	26	617	2015
KXY-499	Ford	zöld	15	577	1998
BZC-526	Opel	fekete	2	274	1998
TUW-232	Nissan	bordó	17	223	2000
HQL-518	Volkswagen	zöld	7	601	2018
DZF-272	Subaru	fehér	16	43	2008
MBQ-916	Skoda	piros	30	406	2010
LLD-097	Toyota	barna	20	512	1995
XUM-871	Toyota	arany	1	261	2009
UDN-205	Renault	lila	11	14	2017
GAZ-489	Peugeot	citromsárga	16	513	2018
NAS-445	Opel	piros	8	310	2018
CYT-128	Toyota	fekete	19	178	2007
YNS-811	Subaru	citromsárga	1	306	2009
FRD-591	Peugeot	fekete	29	399	2007
FIJ-004	Dacia	ezüst	4	10	2021
FVY-317	Suzuki	arany	30	495	2023
ZSD-862	Ford	fekete	22	380	2012
QRS-878	Porsche	ezüst	24	355	2009
LDQ-353	Subaru	kék	23	486	2003
CXZ-291	Volkswagen	fekete	20	486	2003
FGL-084	Toyota	bordó	8	41	2000
HEN-584	Suzuki	barna	26	196	1998
TPY-413	Volkswagen	piros	9	398	2019
MNX-068	Dacia	piros	15	54	2004
MKQ-663	Opel	rózsaszín	9	191	2021
YYI-977	Skoda	lila	5	392	2000
VXJ-283	Nissan	ezüst	9	384	2004
QHC-851	Seat	rózsaszín	29	359	2022
FNW-455	Seat	lila	17	341	2000
ZOM-757	Skoda	fehér	3	230	1999
UCO-895	Ford	narancs	27	124	2004
SVD-286	Renault	ezüst	6	39	1997
JZU-913	Seat	fekete	2	261	2013
VLJ-746	Peugeot	citromsárga	2	300	2016
FLN-318	Opel	szürke	8	26	2006
XTU-206	Dacia	arany	15	47	2012
RZJ-897	Seat	arany	29	189	2014
SNN-156	Volvo	fehér	12	480	1999
YKL-299	Toyota	fekete	19	333	1996
IDM-014	Suzuki	citromsárga	18	315	2013
OTG-852	Honda	lila	4	325	2014
TZK-690	Suzuki	fekete	30	89	2008
WFV-224	Toyota	narancs	10	405	2010
WFJ-951	Suzuki	fekete	19	551	2010
XUB-836	Volvo	piros	15	613	1998
OJC-318	Volvo	szürke	12	240	2003
BND-012	Ford	zöld	23	33	2010
TUZ-684	Honda	fekete	13	114	2001
KCB-089	Porsche	arany	14	133	2003
TMX-988	Opel	bordó	29	171	2003
MIM-945	Volvo	rózsaszín	30	614	1995
RAE-284	BMW	lila	23	101	2023
QOE-803	Subaru	lila	13	325	2015
SUE-415	Volvo	fekete	16	450	2016
FZP-034	Volkswagen	bordó	12	596	2010
XJG-509	Subaru	lila	23	412	2002
MXT-777	Ford	arany	30	273	2018
HLU-690	Volkswagen	piros	26	227	2020
ZSX-229	Toyota	bordó	11	469	1998
TUK-378	Opel	rózsaszín	26	608	2019
PGD-288	Porsche	fekete	15	51	2012
XIZ-395	BMW	zöld	18	644	2000
WAQ-285	Honda	rózsaszín	6	324	2020
OZF-466	Peugeot	barna	1	437	2008
TPS-388	Dacia	kék	26	31	2018
NPW-361	Suzuki	fehér	3	51	2010
JCG-390	Skoda	arany	3	604	2003
SNJ-052	Toyota	lila	15	623	2015
NQL-782	Renault	piros	6	223	2013
IWX-652	Dacia	piros	3	417	2015
IEH-139	Ford	barna	14	481	2011
XDU-550	Renault	barna	2	135	2004
OKG-459	Volkswagen	piros	11	173	2004
FVQ-765	Seat	bordó	3	422	2021
RQF-975	BMW	lila	4	440	2014
ZCL-094	Nissan	fekete	7	555	2015
FRV-632	Suzuki	barna	23	161	2006
UHK-473	Volvo	bordó	20	357	2018
ZLL-623	Honda	fehér	3	282	2018
QYZ-040	Ford	rózsaszín	10	476	2023
IZD-276	Peugeot	bordó	2	555	2012
VNN-163	Seat	rózsaszín	4	422	1996
GRB-154	Volvo	lila	15	486	2002
RKQ-583	Honda	bordó	6	476	1997
INY-884	Skoda	arany	30	369	2021
MGC-173	Ford	barna	11	212	2014
WPE-508	Suzuki	zöld	15	11	2003
BWF-993	Renault	bordó	2	347	2006
XZV-249	Renault	fekete	2	184	2010
KWM-704	Dacia	lila	6	198	2013
ASU-932	Volkswagen	lila	9	613	2007
JQX-099	Peugeot	bordó	6	516	2014
SIC-701	Toyota	ezüst	2	208	2003
TGG-630	Skoda	kék	4	297	2005
TQF-715	Renault	szürke	3	391	1996
MIC-591	Volkswagen	citromsárga	24	333	2007
CUA-100	Seat	piros	4	130	2008
NZJ-742	BMW	fehér	8	115	1995
ECV-951	Dacia	citromsárga	3	425	2005
FKP-379	Nissan	fehér	19	350	2013
EYO-197	Honda	barna	7	561	2012
GZO-441	Peugeot	szürke	2	106	2009
NZL-044	Volvo	bordó	17	446	2008
RHT-816	Volkswagen	lila	7	324	2009
XXO-755	Porsche	arany	21	244	1995
LVH-847	BMW	arany	3	222	2007
ZPF-597	Dacia	szürke	5	168	2014
