id	ev	hanyadik	palyaid	nev	datum	ido
96	2004	7	20	"European Grand Prix"	"2004-05-30"	"\N"
97	2004	8	7	"Canadian Grand Prix"	"2004-06-13"	"\N"
98	2004	9	19	"United States Grand Prix"	"2004-06-20"	"\N"
99	2004	10	8	"French Grand Prix"	"2004-07-04"	"\N"
100	2004	11	9	"British Grand Prix"	"2004-07-11"	"\N"
101	2004	12	10	"German Grand Prix"	"2004-07-25"	"\N"
102	2004	13	11	"Hungarian Grand Prix"	"2004-08-15"	"\N"
103	2004	14	13	"Belgian Grand Prix"	"2004-08-29"	"\N"
104	2004	15	14	"Italian Grand Prix"	"2004-09-12"	"\N"
105	2004	16	17	"Chinese Grand Prix"	"2004-09-26"	"\N"
106	2004	17	22	"Japanese Grand Prix"	"2004-10-10"	"\N"
107	2004	18	18	"Brazilian Grand Prix"	"2004-10-24"	"\N"
108	2003	1	1	"Australian Grand Prix"	"2003-03-09"	"\N"
109	2003	2	2	"Malaysian Grand Prix"	"2003-03-23"	"\N"
110	2003	3	18	"Brazilian Grand Prix"	"2003-04-06"	"\N"
111	2003	4	21	"San Marino Grand Prix"	"2003-04-20"	"\N"
112	2003	5	4	"Spanish Grand Prix"	"2003-05-04"	"\N"
113	2003	6	70	"Austrian Grand Prix"	"2003-05-18"	"\N"
114	2003	7	6	"Monaco Grand Prix"	"2003-06-01"	"\N"
115	2003	8	7	"Canadian Grand Prix"	"2003-06-15"	"\N"
116	2003	9	20	"European Grand Prix"	"2003-06-29"	"\N"
117	2003	10	8	"French Grand Prix"	"2003-07-06"	"\N"
118	2003	11	9	"British Grand Prix"	"2003-07-20"	"\N"
119	2003	12	10	"German Grand Prix"	"2003-08-03"	"\N"
120	2003	13	11	"Hungarian Grand Prix"	"2003-08-24"	"\N"
121	2003	14	14	"Italian Grand Prix"	"2003-09-14"	"\N"
122	2003	15	19	"United States Grand Prix"	"2003-09-28"	"\N"
123	2003	16	22	"Japanese Grand Prix"	"2003-10-12"	"\N"
124	2002	1	1	"Australian Grand Prix"	"2002-03-03"	"\N"
125	2002	2	2	"Malaysian Grand Prix"	"2002-03-17"	"\N"
126	2002	3	18	"Brazilian Grand Prix"	"2002-03-31"	"\N"
127	2002	4	21	"San Marino Grand Prix"	"2002-04-14"	"\N"
128	2002	5	4	"Spanish Grand Prix"	"2002-04-28"	"\N"
129	2002	6	70	"Austrian Grand Prix"	"2002-05-12"	"\N"
130	2002	7	6	"Monaco Grand Prix"	"2002-05-26"	"\N"
131	2002	8	7	"Canadian Grand Prix"	"2002-06-09"	"\N"
132	2002	9	20	"European Grand Prix"	"2002-06-23"	"\N"
133	2002	10	9	"British Grand Prix"	"2002-07-07"	"\N"
134	2002	11	8	"French Grand Prix"	"2002-07-21"	"\N"
135	2002	12	10	"German Grand Prix"	"2002-07-28"	"\N"
136	2002	13	11	"Hungarian Grand Prix"	"2002-08-18"	"\N"
137	2002	14	13	"Belgian Grand Prix"	"2002-09-01"	"\N"
138	2002	15	14	"Italian Grand Prix"	"2002-09-15"	"\N"
139	2002	16	19	"United States Grand Prix"	"2002-09-29"	"\N"
140	2002	17	22	"Japanese Grand Prix"	"2002-10-13"	"\N"
141	2001	1	1	"Australian Grand Prix"	"2001-03-04"	"\N"
142	2001	2	2	"Malaysian Grand Prix"	"2001-03-18"	"\N"
143	2001	3	18	"Brazilian Grand Prix"	"2001-04-01"	"\N"
144	2001	4	21	"San Marino Grand Prix"	"2001-04-15"	"\N"
145	2001	5	4	"Spanish Grand Prix"	"2001-04-29"	"\N"
146	2001	6	70	"Austrian Grand Prix"	"2001-05-13"	"\N"
147	2001	7	6	"Monaco Grand Prix"	"2001-05-27"	"\N"
148	2001	8	7	"Canadian Grand Prix"	"2001-06-10"	"\N"
149	2001	9	20	"European Grand Prix"	"2001-06-24"	"\N"
150	2001	10	8	"French Grand Prix"	"2001-07-01"	"\N"
151	2001	11	9	"British Grand Prix"	"2001-07-15"	"\N"
152	2001	12	10	"German Grand Prix"	"2001-07-29"	"\N"
153	2001	13	11	"Hungarian Grand Prix"	"2001-08-19"	"\N"
154	2001	14	13	"Belgian Grand Prix"	"2001-09-02"	"\N"
155	2001	15	14	"Italian Grand Prix"	"2001-09-16"	"\N"
156	2001	16	19	"United States Grand Prix"	"2001-09-30"	"\N"
157	2001	17	22	"Japanese Grand Prix"	"2001-10-14"	"\N"
158	2000	1	1	"Australian Grand Prix"	"2000-03-12"	"\N"
159	2000	2	18	"Brazilian Grand Prix"	"2000-03-26"	"\N"
160	2000	3	21	"San Marino Grand Prix"	"2000-04-09"	"\N"
161	2000	4	9	"British Grand Prix"	"2000-04-23"	"\N"
162	2000	5	4	"Spanish Grand Prix"	"2000-05-07"	"\N"
163	2000	6	20	"European Grand Prix"	"2000-05-21"	"\N"
164	2000	7	6	"Monaco Grand Prix"	"2000-06-04"	"\N"
165	2000	8	7	"Canadian Grand Prix"	"2000-06-18"	"\N"
166	2000	9	8	"French Grand Prix"	"2000-07-02"	"\N"
167	2000	10	70	"Austrian Grand Prix"	"2000-07-16"	"\N"
168	2000	11	10	"German Grand Prix"	"2000-07-30"	"\N"
169	2000	12	11	"Hungarian Grand Prix"	"2000-08-13"	"\N"
170	2000	13	13	"Belgian Grand Prix"	"2000-08-27"	"\N"
171	2000	14	14	"Italian Grand Prix"	"2000-09-10"	"\N"
172	2000	15	19	"United States Grand Prix"	"2000-09-24"	"\N"
173	2000	16	22	"Japanese Grand Prix"	"2000-10-08"	"\N"
174	2000	17	2	"Malaysian Grand Prix"	"2000-10-22"	"\N"
175	1999	1	1	"Australian Grand Prix"	"1999-03-07"	"\N"
176	1999	2	18	"Brazilian Grand Prix"	"1999-04-11"	"\N"
177	1999	3	21	"San Marino Grand Prix"	"1999-05-02"	"\N"
178	1999	4	6	"Monaco Grand Prix"	"1999-05-16"	"\N"
179	1999	5	4	"Spanish Grand Prix"	"1999-05-30"	"\N"
180	1999	6	7	"Canadian Grand Prix"	"1999-06-13"	"\N"
181	1999	7	8	"French Grand Prix"	"1999-06-27"	"\N"
182	1999	8	9	"British Grand Prix"	"1999-07-11"	"\N"
183	1999	9	70	"Austrian Grand Prix"	"1999-07-25"	"\N"
184	1999	10	10	"German Grand Prix"	"1999-08-01"	"\N"
185	1999	11	11	"Hungarian Grand Prix"	"1999-08-15"	"\N"
186	1999	12	13	"Belgian Grand Prix"	"1999-08-29"	"\N"
187	1999	13	14	"Italian Grand Prix"	"1999-09-12"	"\N"
188	1999	14	20	"European Grand Prix"	"1999-09-26"	"\N"
189	1999	15	2	"Malaysian Grand Prix"	"1999-10-17"	"\N"
190	1999	16	22	"Japanese Grand Prix"	"1999-10-31"	"\N"
191	1998	1	1	"Australian Grand Prix"	"1998-03-08"	"\N"
192	1998	2	18	"Brazilian Grand Prix"	"1998-03-29"	"\N"
193	1998	3	25	"Argentine Grand Prix"	"1998-04-12"	"\N"
194	1998	4	21	"San Marino Grand Prix"	"1998-04-26"	"\N"
195	1998	5	4	"Spanish Grand Prix"	"1998-05-10"	"\N"
196	1998	6	6	"Monaco Grand Prix"	"1998-05-24"	"\N"
197	1998	7	7	"Canadian Grand Prix"	"1998-06-07"	"\N"
198	1998	8	8	"French Grand Prix"	"1998-06-28"	"\N"
199	1998	9	9	"British Grand Prix"	"1998-07-12"	"\N"
200	1998	10	70	"Austrian Grand Prix"	"1998-07-26"	"\N"
201	1998	11	10	"German Grand Prix"	"1998-08-02"	"\N"
202	1998	12	11	"Hungarian Grand Prix"	"1998-08-16"	"\N"
203	1998	13	13	"Belgian Grand Prix"	"1998-08-30"	"\N"
204	1998	14	14	"Italian Grand Prix"	"1998-09-13"	"\N"
205	1998	15	20	"Luxembourg Grand Prix"	"1998-09-27"	"\N"
206	1998	16	22	"Japanese Grand Prix"	"1998-11-01"	"\N"
207	1997	1	1	"Australian Grand Prix"	"1997-03-09"	"\N"
208	1997	2	18	"Brazilian Grand Prix"	"1997-03-30"	"\N"
209	1997	3	25	"Argentine Grand Prix"	"1997-04-13"	"\N"
210	1997	4	21	"San Marino Grand Prix"	"1997-04-27"	"\N"
211	1997	5	6	"Monaco Grand Prix"	"1997-05-11"	"\N"
212	1997	6	4	"Spanish Grand Prix"	"1997-05-25"	"\N"
213	1997	7	7	"Canadian Grand Prix"	"1997-06-15"	"\N"
214	1997	8	8	"French Grand Prix"	"1997-06-29"	"\N"
215	1997	9	9	"British Grand Prix"	"1997-07-13"	"\N"
216	1997	10	10	"German Grand Prix"	"1997-07-27"	"\N"
217	1997	11	11	"Hungarian Grand Prix"	"1997-08-10"	"\N"
218	1997	12	13	"Belgian Grand Prix"	"1997-08-24"	"\N"
219	1997	13	14	"Italian Grand Prix"	"1997-09-07"	"\N"
220	1997	14	70	"Austrian Grand Prix"	"1997-09-21"	"\N"
221	1997	15	20	"Luxembourg Grand Prix"	"1997-09-28"	"\N"
222	1997	16	22	"Japanese Grand Prix"	"1997-10-12"	"\N"
223	1997	17	26	"European Grand Prix"	"1997-10-26"	"\N"
224	1996	1	1	"Australian Grand Prix"	"1996-03-10"	"\N"
225	1996	2	18	"Brazilian Grand Prix"	"1996-03-31"	"\N"
226	1996	3	25	"Argentine Grand Prix"	"1996-04-07"	"\N"
227	1996	4	20	"European Grand Prix"	"1996-04-28"	"\N"
228	1996	5	21	"San Marino Grand Prix"	"1996-05-05"	"\N"
229	1996	6	6	"Monaco Grand Prix"	"1996-05-19"	"\N"
230	1996	7	4	"Spanish Grand Prix"	"1996-06-02"	"\N"
231	1996	8	7	"Canadian Grand Prix"	"1996-06-16"	"\N"
232	1996	9	8	"French Grand Prix"	"1996-06-30"	"\N"
233	1996	10	9	"British Grand Prix"	"1996-07-14"	"\N"
234	1996	11	10	"German Grand Prix"	"1996-07-28"	"\N"
235	1996	12	11	"Hungarian Grand Prix"	"1996-08-11"	"\N"
236	1996	13	13	"Belgian Grand Prix"	"1996-08-25"	"\N"
237	1996	14	14	"Italian Grand Prix"	"1996-09-08"	"\N"
238	1996	15	27	"Portuguese Grand Prix"	"1996-09-22"	"\N"
239	1996	16	22	"Japanese Grand Prix"	"1996-10-13"	"\N"
240	1995	1	18	"Brazilian Grand Prix"	"1995-03-26"	"\N"
241	1995	2	25	"Argentine Grand Prix"	"1995-04-09"	"\N"
242	1995	3	21	"San Marino Grand Prix"	"1995-04-30"	"\N"
243	1995	4	4	"Spanish Grand Prix"	"1995-05-14"	"\N"
244	1995	5	6	"Monaco Grand Prix"	"1995-05-28"	"\N"
245	1995	6	7	"Canadian Grand Prix"	"1995-06-11"	"\N"
246	1995	7	8	"French Grand Prix"	"1995-07-02"	"\N"
247	1995	8	9	"British Grand Prix"	"1995-07-16"	"\N"
248	1995	9	10	"German Grand Prix"	"1995-07-30"	"\N"
249	1995	10	11	"Hungarian Grand Prix"	"1995-08-13"	"\N"
250	1995	11	13	"Belgian Grand Prix"	"1995-08-27"	"\N"
251	1995	12	14	"Italian Grand Prix"	"1995-09-10"	"\N"
252	1995	13	27	"Portuguese Grand Prix"	"1995-09-24"	"\N"
253	1995	14	20	"European Grand Prix"	"1995-10-01"	"\N"
254	1995	15	28	"Pacific Grand Prix"	"1995-10-22"	"\N"
255	1995	16	22	"Japanese Grand Prix"	"1995-10-29"	"\N"
256	1995	17	29	"Australian Grand Prix"	"1995-11-12"	"\N"
257	1994	1	18	"Brazilian Grand Prix"	"1994-03-27"	"\N"
258	1994	2	28	"Pacific Grand Prix"	"1994-04-17"	"\N"
259	1994	3	21	"San Marino Grand Prix"	"1994-05-01"	"\N"
260	1994	4	6	"Monaco Grand Prix"	"1994-05-15"	"\N"
261	1994	5	4	"Spanish Grand Prix"	"1994-05-29"	"\N"
262	1994	6	7	"Canadian Grand Prix"	"1994-06-12"	"\N"
263	1994	7	8	"French Grand Prix"	"1994-07-03"	"\N"
264	1994	8	9	"British Grand Prix"	"1994-07-10"	"\N"
265	1994	9	10	"German Grand Prix"	"1994-07-31"	"\N"
266	1994	10	11	"Hungarian Grand Prix"	"1994-08-14"	"\N"
267	1994	11	13	"Belgian Grand Prix"	"1994-08-28"	"\N"
268	1994	12	14	"Italian Grand Prix"	"1994-09-11"	"\N"
269	1994	13	27	"Portuguese Grand Prix"	"1994-09-25"	"\N"
270	1994	14	26	"European Grand Prix"	"1994-10-16"	"\N"
271	1994	15	22	"Japanese Grand Prix"	"1994-11-06"	"\N"
272	1994	16	29	"Australian Grand Prix"	"1994-11-13"	"\N"
273	1993	1	30	"South African Grand Prix"	"1993-03-14"	"\N"
274	1993	2	18	"Brazilian Grand Prix"	"1993-03-28"	"\N"
275	1993	3	31	"European Grand Prix"	"1993-04-11"	"\N"
276	1993	4	21	"San Marino Grand Prix"	"1993-04-25"	"\N"
277	1993	5	4	"Spanish Grand Prix"	"1993-05-09"	"\N"
278	1993	6	6	"Monaco Grand Prix"	"1993-05-23"	"\N"
279	1993	7	7	"Canadian Grand Prix"	"1993-06-13"	"\N"
280	1993	8	8	"French Grand Prix"	"1993-07-04"	"\N"
281	1993	9	9	"British Grand Prix"	"1993-07-11"	"\N"
282	1993	10	10	"German Grand Prix"	"1993-07-25"	"\N"
283	1993	11	11	"Hungarian Grand Prix"	"1993-08-15"	"\N"
284	1993	12	13	"Belgian Grand Prix"	"1993-08-29"	"\N"
285	1993	13	14	"Italian Grand Prix"	"1993-09-12"	"\N"
286	1993	14	27	"Portuguese Grand Prix"	"1993-09-26"	"\N"
287	1993	15	22	"Japanese Grand Prix"	"1993-10-24"	"\N"
288	1993	16	29	"Australian Grand Prix"	"1993-11-07"	"\N"
289	1992	1	30	"South African Grand Prix"	"1992-03-01"	"\N"
290	1992	2	32	"Mexican Grand Prix"	"1992-03-22"	"\N"
291	1992	3	18	"Brazilian Grand Prix"	"1992-04-05"	"\N"
292	1992	4	4	"Spanish Grand Prix"	"1992-05-03"	"\N"
293	1992	5	21	"San Marino Grand Prix"	"1992-05-17"	"\N"
294	1992	6	6	"Monaco Grand Prix"	"1992-05-31"	"\N"
295	1992	7	7	"Canadian Grand Prix"	"1992-06-14"	"\N"
296	1992	8	8	"French Grand Prix"	"1992-07-05"	"\N"
297	1992	9	9	"British Grand Prix"	"1992-07-12"	"\N"
298	1992	10	10	"German Grand Prix"	"1992-07-26"	"\N"
299	1992	11	11	"Hungarian Grand Prix"	"1992-08-16"	"\N"
300	1992	12	13	"Belgian Grand Prix"	"1992-08-30"	"\N"
301	1992	13	14	"Italian Grand Prix"	"1992-09-13"	"\N"
302	1992	14	27	"Portuguese Grand Prix"	"1992-09-27"	"\N"
303	1992	15	22	"Japanese Grand Prix"	"1992-10-25"	"\N"
304	1992	16	29	"Australian Grand Prix"	"1992-11-08"	"\N"
305	1991	1	33	"United States Grand Prix"	"1991-03-10"	"\N"
306	1991	2	18	"Brazilian Grand Prix"	"1991-03-24"	"\N"
307	1991	3	21	"San Marino Grand Prix"	"1991-04-28"	"\N"
308	1991	4	6	"Monaco Grand Prix"	"1991-05-12"	"\N"
309	1991	5	7	"Canadian Grand Prix"	"1991-06-02"	"\N"
310	1991	6	32	"Mexican Grand Prix"	"1991-06-16"	"\N"
311	1991	7	8	"French Grand Prix"	"1991-07-07"	"\N"
312	1991	8	9	"British Grand Prix"	"1991-07-14"	"\N"
313	1991	9	10	"German Grand Prix"	"1991-07-28"	"\N"
314	1991	10	11	"Hungarian Grand Prix"	"1991-08-11"	"\N"
315	1991	11	13	"Belgian Grand Prix"	"1991-08-25"	"\N"
316	1991	12	14	"Italian Grand Prix"	"1991-09-08"	"\N"
317	1991	13	27	"Portuguese Grand Prix"	"1991-09-22"	"\N"
318	1991	14	4	"Spanish Grand Prix"	"1991-09-29"	"\N"
319	1991	15	22	"Japanese Grand Prix"	"1991-10-20"	"\N"
320	1991	16	29	"Australian Grand Prix"	"1991-11-03"	"\N"
321	1990	1	33	"United States Grand Prix"	"1990-03-11"	"\N"
322	1990	2	18	"Brazilian Grand Prix"	"1990-03-25"	"\N"
323	1990	3	21	"San Marino Grand Prix"	"1990-05-13"	"\N"
324	1990	4	6	"Monaco Grand Prix"	"1990-05-27"	"\N"
325	1990	5	7	"Canadian Grand Prix"	"1990-06-10"	"\N"
326	1990	6	32	"Mexican Grand Prix"	"1990-06-24"	"\N"
327	1990	7	34	"French Grand Prix"	"1990-07-08"	"\N"
328	1990	8	9	"British Grand Prix"	"1990-07-15"	"\N"
329	1990	9	10	"German Grand Prix"	"1990-07-29"	"\N"
330	1990	10	11	"Hungarian Grand Prix"	"1990-08-12"	"\N"
331	1990	11	13	"Belgian Grand Prix"	"1990-08-26"	"\N"
332	1990	12	14	"Italian Grand Prix"	"1990-09-09"	"\N"
333	1990	13	27	"Portuguese Grand Prix"	"1990-09-23"	"\N"
334	1990	14	26	"Spanish Grand Prix"	"1990-09-30"	"\N"
335	1990	15	22	"Japanese Grand Prix"	"1990-10-21"	"\N"
336	1990	16	29	"Australian Grand Prix"	"1990-11-04"	"\N"
337	2010	1	3	"Bahrain Grand Prix"	"2010-03-14"	"12:00:00"
338	2010	2	1	"Australian Grand Prix"	"2010-03-28"	"06:00:00"
339	2010	3	2	"Malaysian Grand Prix"	"2010-04-04"	"08:00:00"
340	2010	4	17	"Chinese Grand Prix"	"2010-04-18"	"06:00:00"
341	2010	5	4	"Spanish Grand Prix"	"2010-05-09"	"12:00:00"
342	2010	6	6	"Monaco Grand Prix"	"2010-05-16"	"12:00:00"
343	2010	7	5	"Turkish Grand Prix"	"2010-05-30"	"11:00:00"
344	2010	8	7	"Canadian Grand Prix"	"2010-06-13"	"16:00:00"
345	2010	9	12	"European Grand Prix"	"2010-06-27"	"12:00:00"
346	2010	10	9	"British Grand Prix"	"2010-07-11"	"12:00:00"
347	2010	11	10	"German Grand Prix"	"2010-07-25"	"12:00:00"
348	2010	12	11	"Hungarian Grand Prix"	"2010-08-01"	"12:00:00"
349	2010	13	13	"Belgian Grand Prix"	"2010-08-29"	"12:00:00"
350	2010	14	14	"Italian Grand Prix"	"2010-09-12"	"12:00:00"
351	2010	15	15	"Singapore Grand Prix"	"2010-09-26"	"12:00:00"
352	2010	16	22	"Japanese Grand Prix"	"2010-10-10"	"06:00:00"
353	2010	17	35	"Korean Grand Prix"	"2010-10-24"	"05:00:00"
354	2010	18	18	"Brazilian Grand Prix"	"2010-11-07"	"16:00:00"
355	2010	19	24	"Abu Dhabi Grand Prix"	"2010-11-14"	"13:00:00"
356	1989	1	36	"Brazilian Grand Prix"	"1989-03-26"	"\N"
357	1989	2	21	"San Marino Grand Prix"	"1989-04-23"	"\N"
358	1989	3	6	"Monaco Grand Prix"	"1989-05-07"	"\N"
359	1989	4	32	"Mexican Grand Prix"	"1989-05-28"	"\N"
360	1989	5	33	"United States Grand Prix"	"1989-06-04"	"\N"
361	1989	6	7	"Canadian Grand Prix"	"1989-06-18"	"\N"
362	1989	7	34	"French Grand Prix"	"1989-07-09"	"\N"
363	1989	8	9	"British Grand Prix"	"1989-07-16"	"\N"
364	1989	9	10	"German Grand Prix"	"1989-07-30"	"\N"
365	1989	10	11	"Hungarian Grand Prix"	"1989-08-13"	"\N"
366	1989	11	13	"Belgian Grand Prix"	"1989-08-27"	"\N"
367	1989	12	14	"Italian Grand Prix"	"1989-09-10"	"\N"
368	1989	13	27	"Portuguese Grand Prix"	"1989-09-24"	"\N"
369	1989	14	26	"Spanish Grand Prix"	"1989-10-01"	"\N"
370	1989	15	22	"Japanese Grand Prix"	"1989-10-22"	"\N"
371	1989	16	29	"Australian Grand Prix"	"1989-11-05"	"\N"
372	1988	1	36	"Brazilian Grand Prix"	"1988-04-03"	"\N"
373	1988	2	21	"San Marino Grand Prix"	"1988-05-01"	"\N"
374	1988	3	6	"Monaco Grand Prix"	"1988-05-15"	"\N"
375	1988	4	32	"Mexican Grand Prix"	"1988-05-29"	"\N"
376	1988	5	7	"Canadian Grand Prix"	"1988-06-12"	"\N"
377	1988	6	37	"Detroit Grand Prix"	"1988-06-19"	"\N"
378	1988	7	34	"French Grand Prix"	"1988-07-03"	"\N"
379	1988	8	9	"British Grand Prix"	"1988-07-10"	"\N"
380	1988	9	10	"German Grand Prix"	"1988-07-24"	"\N"
381	1988	10	11	"Hungarian Grand Prix"	"1988-08-07"	"\N"
382	1988	11	13	"Belgian Grand Prix"	"1988-08-28"	"\N"
383	1988	12	14	"Italian Grand Prix"	"1988-09-11"	"\N"
384	1988	13	27	"Portuguese Grand Prix"	"1988-09-25"	"\N"
385	1988	14	26	"Spanish Grand Prix"	"1988-10-02"	"\N"
