id	versenyid	soforid	csapatid	helyezes	pont	korok
219	28	14	9	11	0	70
220	28	18	11	12	0	69
221	28	6	3	13	0	69
222	28	3	3	14	0	69
223	28	21	10	15	0	69
224	28	22	11	16	0	68
225	28	13	6	17	0	67
226	28	7	5	18	0	67
227	28	16	10	NULL	0	62
228	28	20	5	NULL	0	22
229	29	13	6	1	10	57
230	29	1	1	2	8	57
231	29	9	2	3	6	57
232	29	5	1	4	5	57
233	29	15	7	5	4	57
234	29	20	5	6	3	57
235	29	10	7	7	2	57
236	29	3	3	8	1	57
237	29	2	2	9	0	57
238	29	7	5	10	0	57
239	29	12	4	11	0	57
240	29	17	9	12	0	56
241	29	18	11	13	0	56
242	29	21	10	14	0	56
243	29	6	3	15	0	56
244	29	22	11	16	0	56
245	29	14	9	17	0	56
246	29	8	6	NULL	0	45
247	29	16	10	NULL	0	41
248	29	4	4	NULL	0	0
249	30	13	6	1	10	44
250	30	2	2	2	8	44
251	30	1	1	3	6	44
252	30	4	4	4	5	44
253	30	20	5	5	4	44
254	30	9	2	6	3	44
255	30	7	5	7	2	44
256	30	17	9	8	1	44
257	30	10	7	9	0	44
258	30	5	1	10	0	43
259	30	14	9	11	0	43
260	30	3	3	12	0	43
261	30	16	10	13	0	43
262	30	6	3	14	0	43
263	30	18	11	15	0	43
264	30	15	7	16	0	43
265	30	21	10	17	0	43
266	30	8	6	18	0	42
267	30	22	11	NULL	0	19
268	30	12	4	NULL	0	13
269	31	20	5	1	10	53
270	31	5	1	2	8	53
271	31	9	2	3	6	53
272	31	4	4	4	5	53
273	31	2	2	5	4	53
274	31	13	6	6	3	53
275	31	1	1	7	2	53
276	31	17	9	8	1	53
277	31	8	6	9	0	53
278	31	12	4	10	0	53
279	31	10	7	11	0	53
280	31	6	3	12	0	53
281	31	15	7	13	0	53
282	31	3	3	14	0	53
283	31	18	11	15	0	53
284	31	14	9	16	0	52
285	31	22	11	17	0	52
286	31	7	5	18	0	52
287	31	16	10	19	0	51
288	31	21	10	NULL	0	11
289	32	4	4	1	10	61
290	32	3	3	2	8	61
291	32	1	1	3	6	61
292	32	10	7	4	5	61
293	32	20	5	5	4	61
294	32	2	2	6	3	61
295	32	14	9	7	2	61
296	32	6	3	8	1	61
297	32	18	11	9	0	61
298	32	5	1	10	0	61
299	32	9	2	11	0	61
300	32	7	5	12	0	61
301	32	13	6	13	0	61
302	32	21	10	14	0	61
303	32	8	6	15	0	57
304	32	15	7	NULL	0	50
305	32	16	10	NULL	0	49
306	32	17	9	NULL	0	29
307	32	22	11	NULL	0	14
308	32	12	4	NULL	0	13
309	33	4	4	1	10	67
310	33	9	2	2	8	67
311	33	8	6	3	6	67
312	33	12	4	4	5	67
313	33	15	7	5	4	67
314	33	20	5	6	3	67
315	33	13	6	7	2	67
316	33	17	9	8	1	67
317	33	2	2	9	0	67
318	33	7	5	10	0	67
319	33	3	3	11	0	67
320	33	1	1	12	0	67
321	33	22	11	13	0	66
322	33	18	11	14	0	66
323	33	6	3	15	0	66
324	33	21	10	NULL	0	21
325	33	5	1	NULL	0	16
326	33	16	10	NULL	0	8
327	33	10	7	NULL	0	6
328	33	14	9	NULL	0	0
329	34	1	1	1	10	56
330	34	13	6	2	8	56
331	34	8	6	3	6	56
332	34	4	4	4	5	56
333	34	2	2	5	4	56
334	34	9	2	6	3	56
335	34	10	7	7	2	56
336	34	12	4	8	1	56
337	34	20	5	9	0	56
338	34	14	9	10	0	56
339	34	22	11	11	0	56
340	34	6	3	12	0	56
341	34	7	5	13	0	56
342	34	17	9	14	0	56
343	34	3	3	15	0	55
344	34	18	11	16	0	55
345	34	21	10	17	0	55
346	34	5	1	NULL	0	49
347	34	16	10	NULL	0	13
348	34	15	7	NULL	0	2
349	35	13	6	1	10	71
350	35	4	4	2	8	71
351	35	8	6	3	6	71
352	35	20	5	4	5	71
353	35	1	1	5	4	71
354	35	10	7	6	3	71
355	35	5	1	7	2	71
356	35	15	7	8	1	71
357	35	17	9	9	0	71
358	35	2	2	10	0	70
359	35	9	2	11	0	70
360	35	3	3	12	0	70
361	35	18	11	13	0	70
362	35	7	5	14	0	70
363	35	22	11	15	0	70
364	35	16	10	16	0	69
365	35	6	3	17	0	69
366	35	21	10	18	0	69
367	35	12	4	NULL	0	0
368	35	14	9	NULL	0	0
369	36	8	6	1	10	58
370	36	4	1	2	8	58
371	36	1	1	3	6	58
372	36	2	2	4	5	58
373	36	21	4	5	4	58
374	36	13	6	6	3	58
375	36	3	3	7	2	57
376	36	23	7	8	1	57
377	36	15	7	9	0	57
378	36	5	4	10	0	57
379	36	22	11	11	0	57
380	36	11	8	12	0	57
381	36	17	9	13	0	57
382	36	24	5	14	0	57
383	36	18	11	15	0	57
384	36	19	8	16	0	56
385	36	16	12	17	0	56
386	36	25	3	NULL	0	48
387	36	14	9	NULL	0	48
388	36	9	2	NULL	0	36
389	36	26	5	NULL	0	28
390	36	27	12	NULL	0	10
391	37	4	1	1	10	56
392	37	1	1	2	8	56
393	37	8	6	3	6	56
394	37	2	2	4	5	56
395	37	13	6	5	4	56
396	37	21	4	6	3	56
397	37	15	7	7	2	56
398	37	5	4	8	1	56
399	37	25	3	9	0	56
400	37	17	9	10	0	56
401	37	22	11	11	0	55
402	37	18	11	12	0	55
403	37	11	8	13	0	55
404	37	26	5	14	0	55
405	37	23	7	15	0	55
406	37	19	8	16	0	55
407	37	24	5	17	0	55
408	37	9	2	18	0	55
409	37	3	3	NULL	0	42
410	37	14	9	NULL	0	36
411	37	27	12	NULL	0	7
412	37	16	12	NULL	0	0
413	38	13	6	1	10	57
414	38	1	1	2	8	57
415	38	8	6	3	6	57
416	38	2	2	4	5	57
417	38	4	1	5	4	57
418	38	9	2	6	3	57
419	38	15	7	7	2	57
420	38	21	4	8	1	57
421	38	5	4	9	0	57
422	38	3	3	10	0	57
423	38	25	3	11	0	56
424	38	23	7	12	0	56
425	38	22	11	13	0	56
426	38	27	12	14	0	55
427	38	16	12	15	0	53
428	38	19	8	16	0	51
429	38	17	9	NULL	0	41
430	38	14	9	NULL	0	36
431	38	11	8	NULL	0	34
432	38	24	5	NULL	0	26
433	38	18	11	NULL	0	0
434	38	26	5	NULL	0	0
435	39	13	6	1	10	65
436	39	1	1	2	8	65
437	39	4	1	3	6	65
438	39	9	2	4	5	65
439	39	14	9	5	4	65
440	39	3	3	6	3	65
441	39	5	4	7	2	65
442	39	11	8	8	1	64
443	39	21	4	9	0	64
444	39	22	11	10	0	64
445	39	19	8	11	0	64
446	39	18	11	12	0	64
447	39	16	12	13	0	63
448	39	27	12	14	0	63
449	39	2	2	NULL	0	46
450	39	23	7	NULL	0	44
451	39	24	5	NULL	0	19
452	39	26	5	NULL	0	9
453	39	8	6	NULL	0	9
454	39	15	7	NULL	0	8
455	39	17	9	NULL	0	7
456	39	25	3	NULL	0	1
457	40	4	1	1	10	78
458	40	1	1	2	8	78
459	40	13	6	3	6	78
460	40	21	4	4	5	77
461	40	9	2	5	4	77
462	40	2	2	6	3	77
463	40	25	3	7	2	77
464	40	8	6	8	1	77
465	40	26	5	9	0	77
466	40	22	11	10	0	77
467	40	18	11	11	0	77
468	40	3	3	12	0	77
469	40	5	4	13	0	76
470	40	14	9	14	0	76
471	40	15	7	15	0	76
472	40	23	7	16	0	76
473	40	11	8	17	0	76
474	40	19	8	18	0	76
475	40	27	12	19	0	70
476	40	16	12	NULL	0	53
477	40	17	9	NULL	0	17
478	40	24	5	NULL	0	2
479	41	1	1	1	10	70
480	41	2	2	2	8	70
481	41	25	3	3	6	70
482	41	5	4	4	5	70
483	41	8	6	5	4	70
484	41	11	8	6	3	70
485	41	4	1	7	2	70
486	41	23	7	8	1	70
487	41	17	9	9	0	70
488	41	3	3	10	0	70
489	41	19	8	11	0	70
490	41	22	11	12	0	70
491	41	15	7	NULL	0	58
492	41	24	5	NULL	0	54
493	41	27	12	NULL	0	47
494	41	14	9	NULL	0	36
495	41	9	2	NULL	0	26
496	41	16	12	NULL	0	21
497	41	26	5	NULL	0	8
498	41	18	11	NULL	0	0
499	41	13	6	NULL	0	51
500	41	21	4	NULL	0	51
501	42	1	1	1	10	73
502	42	4	1	2	8	73
503	42	13	6	3	6	73
504	42	8	6	4	5	73
505	42	5	4	5	4	73
506	42	15	7	6	3	73
507	42	17	9	7	2	73
508	42	20	2	8	1	73
509	42	21	4	9	0	72
510	42	25	3	10	0	72
511	42	19	8	11	0	72
512	42	18	11	12	0	72
513	42	26	5	13	0	71
514	42	16	12	14	0	71
515	42	27	12	15	0	70
516	42	3	3	16	0	68
517	42	24	5	17	0	68
518	42	2	2	NULL	0	56
519	42	11	8	NULL	0	13
520	42	14	9	NULL	0	0
521	42	22	11	NULL	0	0
522	42	23	7	NULL	0	0
523	43	8	6	1	10	70
524	43	13	6	2	8	70
525	43	1	1	3	6	70
526	43	9	2	4	5	70
527	43	2	2	5	4	70
528	43	21	4	6	3	70
529	43	4	1	7	2	70
530	43	18	11	8	1	70
531	43	3	3	9	0	70
532	43	23	7	10	0	69
533	43	22	11	11	0	69
534	43	17	9	12	0	69
535	43	14	9	13	0	69
536	43	25	3	14	0	69
537	43	5	4	15	0	69
538	43	11	8	16	0	68
539	43	16	12	17	0	68
540	43	26	5	NULL	0	55
541	43	27	12	NULL	0	28
542	43	19	8	NULL	0	1
543	43	15	7	NULL	0	1
544	43	24	5	NULL	0	0
545	44	8	6	1	10	59
546	44	4	1	2	8	59
547	44	1	1	3	6	59
548	44	9	2	4	5	59
549	44	13	6	5	4	59
550	44	2	2	6	3	59
551	44	5	4	7	2	58
552	44	21	4	8	1	58
553	44	22	11	9	0	58
554	44	18	11	10	0	58
555	44	14	9	11	0	58
556	44	3	3	12	0	58
557	44	25	3	13	0	58
558	44	11	8	14	0	57
559	44	27	12	15	0	57
560	44	24	5	16	0	53
561	44	15	7	NULL	0	43
562	44	19	8	NULL	0	35
563	44	26	5	NULL	0	29
564	44	23	7	NULL	0	22
565	44	16	12	NULL	0	16
566	44	17	9	NULL	0	8
567	45	4	1	1	10	60
568	45	13	6	2	8	60
569	45	17	9	3	6	60
570	45	25	3	4	5	60
571	45	14	9	5	4	60
572	45	2	2	6	3	60
573	45	9	2	7	2	60
574	45	5	4	8	1	59
575	45	1	1	9	0	59
576	45	21	4	10	0	59
577	45	22	11	11	0	59
578	45	19	8	12	0	59
579	45	15	7	13	0	59
580	45	8	6	NULL	0	34
581	45	11	8	NULL	0	19
582	45	23	7	NULL	0	18
583	45	28	12	NULL	0	13
584	45	18	11	NULL	0	2
585	45	16	12	NULL	0	2
586	45	3	3	NULL	0	2
587	45	26	5	NULL	0	2
588	45	24	5	NULL	0	2
589	46	1	1	1	10	70
590	46	8	6	2	8	70
591	46	2	2	3	6	70
592	46	4	1	4	5	70
593	46	9	2	5	4	70
594	46	23	7	6	3	70
595	46	3	3	7	2	70
596	46	5	4	8	1	70
597	46	17	9	9	0	70
598	46	15	7	10	0	69
599	46	14	9	11	0	69
600	46	21	4	12	0	69
601	46	13	6	13	0	69
602	46	25	3	14	0	69
603	46	11	8	15	0	69
604	46	20	5	16	0	69
605	46	16	12	17	0	68
606	46	22	11	18	0	68
607	46	24	5	NULL	0	42
608	46	19	8	NULL	0	41
609	46	18	11	NULL	0	35
610	46	29	12	NULL	0	4
611	47	13	6	1	10	58
612	47	8	6	2	8	58
613	47	4	1	3	6	58
614	47	2	2	4	5	58
615	47	1	1	5	4	58
616	47	5	4	6	3	58
617	47	3	3	7	2	58
618	47	9	2	8	1	58
619	47	21	4	9	0	58
620	47	14	9	10	0	58
621	47	25	3	11	0	58
622	47	23	7	12	0	57
623	47	18	11	13	0	57
624	47	19	8	14	0	57
625	47	24	5	15	0	57
626	47	15	7	16	0	57
627	47	22	11	17	0	57
628	47	11	8	18	0	57
629	47	20	5	19	0	57
630	47	29	12	20	0	56
631	47	16	12	21	0	53
632	47	17	9	NULL	0	9
633	48	4	1	1	10	53
634	48	1	1	2	8	53
635	48	8	6	3	6	53
636	48	2	2	4	5	53
637	48	9	2	5	4	53
638	48	3	3	6	3	53
639	48	5	4	7	2	53
640	48	18	11	8	1	53
641	48	17	9	9	0	53
642	48	22	11	10	0	53
643	48	15	7	11	0	53
644	48	21	4	12	0	52
645	48	25	3	13	0	52
646	48	19	8	14	0	52
647	48	23	7	15	0	52
648	48	11	8	16	0	52
649	48	24	5	17	0	52
650	48	20	5	18	0	52
651	48	16	12	19	0	52
652	48	29	12	20	0	52
653	48	13	6	NULL	0	10
654	48	14	9	NULL	0	1
655	49	8	6	1	10	44
656	49	13	6	2	8	44
657	49	4	1	3	6	44
658	49	1	1	4	5	44
659	49	2	2	5	4	44
660	49	3	3	6	3	44
661	49	17	9	7	2	44
662	49	5	4	8	1	44
663	49	9	2	9	0	44
664	49	23	7	10	0	44
665	49	15	7	11	0	44
666	49	24	5	12	0	43
667	49	22	11	13	0	43
668	49	16	12	14	0	43
669	49	11	8	15	0	43
670	49	19	8	16	0	43
671	49	29	12	17	0	43
672	49	18	11	NULL	0	36
673	49	25	3	NULL	0	34
674	49	14	9	NULL	0	29
675	49	20	5	NULL	0	8
676	49	21	4	NULL	0	1
677	50	1	1	1	10	67
678	50	5	4	2	8	67
679	50	8	6	3	6	67
680	50	14	9	4	5	67
681	50	21	4	5	4	67
682	50	13	6	6	3	67
683	50	9	2	7	2	67
684	50	16	12	8	1	67
685	50	24	5	9	0	67
686	50	22	11	10	0	67
687	50	18	11	11	0	66
688	50	29	12	12	0	66
689	50	15	7	13	0	66
690	50	2	2	14	0	65
691	50	11	8	15	0	65
692	50	23	7	NULL	0	55
693	50	19	8	NULL	0	54
694	50	3	3	NULL	0	49
695	50	20	5	NULL	0	46
696	50	17	9	NULL	0	45
697	50	4	1	NULL	0	41
698	50	25	3	NULL	0	19
699	51	8	6	1	10	56
700	51	4	1	2	8	56
701	51	13	6	3	6	56
702	51	20	5	4	5	56
703	51	18	11	5	4	56
704	51	24	5	6	3	56
705	51	2	2	7	2	56
706	51	14	9	8	1	56
707	51	5	4	9	0	56
708	51	17	9	10	0	56
709	51	21	4	11	0	56
710	51	25	3	12	0	55
711	51	15	7	13	0	55
712	51	11	8	14	0	55
713	51	22	11	15	0	55
714	51	3	3	16	0	54
715	51	29	12	17	0	53
716	51	9	2	NULL	0	33
717	51	1	1	NULL	0	30
718	51	23	7	NULL	0	25
719	51	16	12	NULL	0	24
720	51	19	8	NULL	0	11
721	52	8	6	1	10	71
722	52	13	6	2	8	71
723	52	4	1	3	6	71
724	52	3	3	4	5	71
725	52	9	2	5	4	71
726	52	2	2	6	3	71
727	52	1	1	7	2	70
728	52	15	7	8	1	70
729	52	14	9	9	0	70
730	52	6	3	10	0	70
731	52	23	7	11	0	70
732	52	11	8	12	0	69
733	52	24	5	13	0	69
734	52	19	8	14	0	68
735	52	16	12	NULL	0	43
736	52	22	11	NULL	0	40
737	52	5	4	NULL	0	35
738	52	20	5	NULL	0	34
739	52	18	11	NULL	0	20
740	52	17	9	NULL	0	14
741	52	29	12	NULL	0	2
742	52	21	4	NULL	0	2
743	53	4	4	1	10	57
744	53	30	6	2	8	57
745	53	8	1	3	6	57
746	53	18	11	4	5	57
747	53	31	1	5	4	57
748	53	17	3	6	3	57
749	53	3	3	7	2	57
750	53	32	9	8	1	57
751	53	13	6	9	0	57
752	53	14	9	10	0	57
753	53	24	5	11	0	57
754	53	2	2	12	0	56
755	53	26	5	13	0	56
756	53	23	7	14	0	56
757	53	22	11	15	0	56
758	53	15	7	16	0	56
759	53	33	13	17	0	55
760	53	11	8	18	0	53
761	53	34	8	NULL	0	35
762	53	35	2	NULL	0	29
763	53	21	4	NULL	0	21
764	53	27	13	NULL	0	0
765	54	21	4	1	10	56
766	54	4	4	2	8	56
767	54	18	11	3	6	56
768	54	31	1	4	5	56
769	54	13	6	5	4	56
770	54	30	6	6	3	56
771	54	35	2	7	2	56
772	54	23	7	8	1	56
773	54	15	7	9	0	55
774	54	22	11	10	0	55
775	54	24	5	11	0	54
776	54	27	13	12	0	54
777	54	33	13	13	0	54
778	54	11	8	14	0	53
779	54	2	2	NULL	0	48
780	54	26	5	NULL	0	41
781	54	34	8	NULL	0	33
782	54	32	9	NULL	0	26
783	54	17	3	NULL	0	15
784	54	14	9	NULL	0	10
785	54	3	3	NULL	0	6
786	54	8	1	NULL	0	0
787	55	4	4	1	10	57
788	55	8	1	2	8	57
789	55	23	7	3	6	57
790	55	2	2	4	5	57
791	55	21	4	5	4	57
792	55	35	2	6	3	57
793	55	22	11	7	2	57
794	55	14	9	8	1	57
795	55	26	5	9	0	57
796	55	18	11	10	0	56
797	55	27	13	11	0	56
798	55	11	8	12	0	55
799	55	34	8	13	0	54
800	55	31	1	NULL	0	46
801	55	33	13	NULL	0	39
802	55	24	5	NULL	0	37
803	55	30	6	NULL	0	32
804	55	17	3	NULL	0	22
805	55	32	9	NULL	0	4
806	55	15	7	NULL	0	0
807	55	3	3	NULL	0	0
808	55	13	6	NULL	0	0
809	56	30	6	1	10	62
810	56	4	4	2	8	62
811	56	31	1	3	6	62
812	56	13	6	4	5	62
813	56	8	1	5	4	62
814	56	17	3	6	3	62
815	56	18	11	7	2	62
816	56	21	4	8	1	62
817	56	23	7	9	0	62
818	56	22	11	10	0	62
819	56	3	3	11	0	62
820	56	35	2	12	0	62
821	56	2	2	13	0	61
822	56	24	5	14	0	61
823	56	26	5	15	0	61
824	56	33	13	16	0	60
825	56	14	9	NULL	0	47
826	56	11	8	NULL	0	44
827	56	32	9	NULL	0	40
828	56	34	8	NULL	0	23
829	56	15	7	NULL	0	5
830	56	27	13	NULL	0	0
831	57	30	6	1	10	60
832	57	4	4	2	8	60
833	57	13	6	3	6	60
834	57	8	1	4	5	60
835	57	22	11	5	4	60
836	57	21	4	6	3	60
837	57	3	3	7	2	60
838	57	35	2	8	1	60
839	57	15	7	9	0	59
840	57	2	2	10	0	59
841	57	26	5	11	0	59
842	57	33	13	12	0	59
843	57	27	13	13	0	59
844	57	23	7	NULL	0	52
845	57	31	1	NULL	0	52
846	57	11	8	NULL	0	45
847	57	36	8	NULL	0	29
848	57	18	11	NULL	0	28
849	57	32	9	NULL	0	28
850	57	17	3	NULL	0	12
851	57	14	9	NULL	0	2
852	57	24	5	NULL	0	0
853	58	4	4	1	10	66
854	58	30	6	2	8	66
855	58	21	4	3	6	66
856	58	13	6	4	5	66
857	58	8	1	5	4	66
858	58	18	11	6	3	66
859	58	22	11	7	2	65
860	58	2	2	8	1	65
861	58	17	3	9	0	65
862	58	15	7	10	0	65
863	58	3	3	11	0	65
864	58	35	2	12	0	65
865	58	32	9	13	0	65
866	58	14	9	14	0	65
867	58	24	5	15	0	63
868	58	33	13	16	0	63
869	58	11	8	17	0	62
870	58	27	13	NULL	0	48
871	58	26	5	NULL	0	47
872	58	23	7	NULL	0	31
873	58	31	1	NULL	0	17
874	58	36	8	NULL	0	10
875	59	4	4	1	10	78
876	59	31	1	2	8	78
877	59	14	9	3	6	78
878	59	22	11	4	5	78
879	59	30	6	5	4	78
880	59	21	4	6	3	78
881	59	2	2	7	2	77
882	59	23	7	8	1	77
883	59	13	6	9	0	77
884	59	24	5	10	0	77
885	59	18	11	11	0	77
886	59	27	13	12	0	77
887	59	26	5	13	0	77
888	59	35	2	14	0	77
889	59	33	13	15	0	76
890	59	36	8	16	0	75
891	59	15	7	17	0	72
892	59	32	9	NULL	0	56
893	59	3	3	NULL	0	51
894	59	8	1	NULL	0	50
895	59	17	3	NULL	0	48
896	59	11	8	NULL	0	46
897	60	4	4	1	10	60
898	60	30	6	2	8	60
899	60	8	1	3	6	60
900	60	21	4	4	5	60
901	60	13	6	5	4	60
902	60	31	1	6	3	60
903	60	2	2	7	2	60
904	60	35	2	8	1	60
905	60	3	3	9	0	60
906	60	22	11	10	0	59
907	60	15	7	11	0	59
908	60	14	9	12	0	59
909	60	24	5	13	0	59
910	60	32	9	14	0	59
911	60	27	13	15	0	59
912	60	33	13	16	0	58
913	60	11	8	17	0	57
914	60	36	8	18	0	57
915	60	18	11	NULL	0	8
916	60	26	5	NULL	0	1
917	60	23	7	NULL	0	0
918	60	17	3	NULL	0	0
919	61	4	4	1	10	70
920	61	30	6	2	8	70
921	61	8	1	3	6	70
922	61	21	4	4	5	70
923	61	13	6	5	4	70
924	61	15	7	6	3	69
925	61	2	2	7	2	69
926	61	14	9	8	1	69
927	61	18	11	9	0	69
928	61	26	5	10	0	69
929	61	32	9	11	0	69
930	61	17	3	12	0	69
931	61	24	5	13	0	68
932	61	33	13	14	0	66
933	61	11	8	15	0	64
934	61	35	2	NULL	0	58
935	61	23	7	NULL	0	58
936	61	31	1	NULL	0	13
937	61	22	11	NULL	0	11
938	61	36	8	NULL	0	2
939	61	3	3	NULL	0	1
940	61	27	13	NULL	0	0
941	62	30	6	1	10	73
942	62	13	6	2	8	73
943	62	21	4	3	6	73
944	62	15	7	4	5	73
945	62	4	4	5	4	73
946	62	22	11	6	3	73
947	62	14	9	7	2	72
948	62	24	5	8	1	72
949	62	3	3	9	0	72
950	62	23	7	NULL	0	62
951	62	27	13	NULL	0	37
952	62	35	2	NULL	0	23
953	62	33	13	NULL	0	9
954	62	11	8	NULL	0	6
955	62	18	11	NULL	0	3
956	62	8	1	NULL	0	0
957	62	2	2	NULL	0	0
958	62	31	1	NULL	0	0
959	62	17	3	NULL	0	0
960	62	26	5	NULL	0	0
961	62	32	9	NULL	0	0
